family,rate,system,label,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,n_seeds,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
codex,0.0135,baseline_cpu_ssd,3xGPU + CPU/SSD tiering,762.19,762.19,762.19,657.42,657.42,657.42,708.717,708.717,708.717,425.94,739.33,854.588,2,907.751,0.862959,0.862959,0.862959,0.765965,0.765965,0.765965,0.813426,0.813426,0.813426,0.760024,0.939555,0.990839,0.56618,43.7779,8.66243,22.0422,8.20838,3.446,56.5468
codex,0.0135,hbf_tp4x2,"GPU+2xHBF hybrid (1:2, tp4x2)",897.72,899.621,883.831,771.929,773.595,759.659,821.041,822.737,808.518,401.202,789.538,961.229,2,1074.12,0.862746,0.865902,0.847316,0.762459,0.765174,0.748442,0.80031,0.803091,0.785849,0.696697,0.930009,0.987184,0.295966,34.2877,11.2378,103.303,9.7953,4.35517,64.3989
codex,0.0135,hbf_tp8_context,"GPU+2xHBF hybrid (1:2, tp8)",940.058,943.023,916.833,824.083,826.715,802.955,868.824,871.619,846.924,334.767,742.274,912.267,2,1055.75,0.895833,0.904003,0.865415,0.796646,0.803525,0.769318,0.832116,0.83945,0.803893,0.673991,0.929728,0.984645,0.182892,25.1917,13.578,147.475,10.6999,5.07939,71.8676
codex,0.0135,oracle_infinite_hbm,Infinite-HBM oracle (3 hosts),825.247,825.247,825.247,730.006,730.006,730.006,777.037,777.037,777.037,470.538,771.275,878.485,2,919.01,0.908623,0.908623,0.908623,0.824922,0.824922,0.824922,0.866923,0.866923,0.866923,0.809919,0.961091,0.996708,0.470459,32.9771,8.3995,22.4627,6.64893,2.96045,44.6922
codex,0.015,baseline_cpu_ssd,3xGPU + CPU/SSD tiering,824.316,824.316,824.316,682.324,682.324,682.324,746.022,746.022,746.022,390.478,770.819,944.75,2,1026.92,0.821141,0.821141,0.821141,0.700026,0.700026,0.700026,0.756696,0.756696,0.756696,0.683888,0.913343,0.987844,0.797932,48.756,11.5974,23.5989,10.4722,4.96728,61.2599
codex,0.015,hbf_tp4x2,"GPU+2xHBF hybrid (1:2, tp4x2)",1005.69,1008.77,980.293,857.115,859.739,833.639,915.949,918.765,891.96,377.027,827.678,1048.21,2,1204.97,0.852552,0.857933,0.826176,0.7504,0.755151,0.726176,0.790688,0.795622,0.765834,0.650301,0.914496,0.983869,0.319677,34.6376,14.1861,133.977,11.4061,5.64999,72.711
codex,0.015,hbf_tp8_context,"GPU+2xHBF hybrid (1:2, tp8)",1000.23,1007.2,929.637,868.239,874.704,803.419,923.522,930.166,857.142,279.275,687.664,920.542,2,1143.63,0.869253,0.883258,0.802138,0.764552,0.77712,0.704496,0.809053,0.821972,0.747264,0.596186,0.88618,0.969757,0.205341,28.3912,18.1537,198.079,14.22,7.09756,100.357
codex,0.015,oracle_infinite_hbm,Infinite-HBM oracle (3 hosts),900.356,900.356,900.356,788.96,788.96,788.96,847.427,847.427,847.427,460.437,817.573,955.936,2,1035.21,0.886821,0.886821,0.886821,0.79666,0.79666,0.79666,0.840457,0.840457,0.840457,0.759554,0.947104,0.993257,0.529073,35.1708,10.6189,25.2069,8.09151,3.78758,52.0796
codex,0.0165,baseline_cpu_ssd,3xGPU + CPU/SSD tiering,843.404,843.404,843.404,672.422,672.422,672.422,749.318,749.318,749.318,347.602,770.822,1012.37,2,1137.13,0.770458,0.770458,0.770458,0.62865,0.62865,0.62865,0.691921,0.691921,0.691921,0.608986,0.877244,0.98006,1.30023,56.4476,14.8178,23.9637,13.0748,6.73447,75.3144
codex,0.0165,hbf_tp4x2,"GPU+2xHBF hybrid (1:2, tp4x2)",1113.05,1118.97,1065.62,944.208,949.735,900.919,1017.34,1023.1,973.093,347.067,840.132,1094.22,2,1320.85,0.850967,0.860321,0.812162,0.741445,0.749972,0.705922,0.7825,0.791407,0.74607,0.604778,0.891816,0.973897,0.319914,34.669,16.7154,168.868,13.32,6.82206,88.2245
codex,0.0165,hbf_tp8_context,"GPU+2xHBF hybrid (1:2, tp8)",1081.27,1093.72,922.592,923.338,934.81,785.164,987.911,999.622,840.688,253.893,680.54,956.686,2,1240.96,0.864229,0.885233,0.76242,0.754486,0.773314,0.665185,0.799055,0.8185,0.705569,0.553089,0.850422,0.959124,0.217802,28.3107,21.527,215.135,16.4988,8.31434,110.278
codex,0.0165,oracle_infinite_hbm,Infinite-HBM oracle (3 hosts),993.426,993.426,993.426,853.194,853.194,853.194,924.753,924.753,924.753,457.662,889.381,1070.92,2,1175.75,0.863822,0.863822,0.863822,0.765878,0.765878,0.765878,0.815731,0.815731,0.815731,0.717077,0.929134,0.991715,0.593006,39.8034,12.7183,27.9507,9.46881,4.57925,56.1788
