family,rate,system,label,seed,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,101,446.391,446.391,446.391,367.161,367.161,367.161,400.855,400.855,400.855,119.703,255.3,369.792,611.401,0.796328,0.796328,0.796328,0.698696,0.698696,0.698696,0.744681,0.744681,0.744681,0.577385,0.785347,0.881778,0.720927,238.553,16.4762,25.9112,29.5636,7.30419,278.548
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,102,434.776,434.776,434.776,368.285,368.285,368.285,398.259,398.259,398.259,117.806,270.544,380.649,561.324,0.83637,0.83637,0.83637,0.735441,0.735441,0.735441,0.783137,0.783137,0.783137,0.614148,0.820829,0.904609,0.58081,256.084,14.1401,24.7098,28.1521,5.86702,273.42
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,103,326.247,326.247,326.247,242.612,242.612,242.612,276.365,276.365,276.365,83.5324,206.273,313.424,519.37,0.725766,0.725766,0.725766,0.571997,0.571997,0.571997,0.646727,0.646727,0.646727,0.51135,0.750953,0.85203,1.84132,454.946,18.9094,27.0556,40.6689,9.56646,460.012
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,104,476.858,476.858,476.858,333.414,333.414,333.414,393.503,393.503,393.503,81.5525,226.775,369.842,680.203,0.745334,0.745334,0.745334,0.57118,0.57118,0.57118,0.650743,0.650743,0.650743,0.467257,0.735843,0.861911,1.86196,360.803,19.4898,26.1759,34.264,11.1508,377.314
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,105,403.17,403.17,403.17,344.83,344.83,344.83,370.751,370.751,370.751,103.043,246.192,358.717,528.84,0.807916,0.807916,0.807916,0.709623,0.709623,0.709623,0.756518,0.756518,0.756518,0.57644,0.803039,0.896642,0.826118,254.726,15.1347,23.6814,25.3445,7.2912,274.861
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,106,342.913,342.913,342.913,246.434,246.434,246.434,286.94,286.94,286.94,67.1128,195.124,305.353,607.557,0.674536,0.674536,0.674536,0.531505,0.531505,0.531505,0.59087,0.59087,0.59087,0.434994,0.689984,0.813227,2.38382,359.281,19.817,26.3158,42.7224,13.2993,406.74
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,107,372.781,372.781,372.781,310.793,310.793,310.793,347.566,347.566,347.566,104.801,232.577,327.315,459.91,0.847331,0.847331,0.847331,0.756476,0.756476,0.756476,0.806907,0.806907,0.806907,0.632457,0.834184,0.910126,0.622868,232.395,15.2395,24.6057,23.1362,5.76687,250.158
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,108,326.628,326.628,326.628,213.334,213.334,213.334,259.856,259.856,259.856,58.0783,171.91,294.702,566.784,0.645156,0.645156,0.645156,0.457633,0.457633,0.457633,0.540043,0.540043,0.540043,0.403468,0.668573,0.796389,3.78394,669.222,19.6876,25.8455,57.8279,14.5059,672.558
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,109,377.93,377.93,377.93,260.322,260.322,260.322,308.707,308.707,308.707,74.4385,203.666,326.672,610.243,0.714006,0.714006,0.714006,0.551888,0.551888,0.551888,0.620199,0.620199,0.620199,0.471319,0.719562,0.848505,1.98438,301.655,20.2145,26.8646,35.5763,11.2617,330.195
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,110,369.62,369.62,369.62,262.984,262.984,262.984,321.392,321.392,321.392,69.1878,193.539,305.568,540.853,0.738675,0.738675,0.738675,0.587933,0.587933,0.587933,0.657214,0.657214,0.657214,0.484774,0.736772,0.857823,1.6131,402.629,18.6799,27.4956,38.5984,10.575,415.202
