family,system,slo_level,max_rate_pass90,goodput_at_max
claude,baseline_cpu_ssd,turn10,,
claude,baseline_cpu_ssd,turn30,,
claude,baseline_cpu_ssd,turn60,0.02,527.7
claude,baseline_cpu_ssd,ttft5_tpot100,,
claude,hbf_tp4x2,turn10,,
claude,hbf_tp4x2,turn30,0.016,355.0
claude,hbf_tp4x2,turn60,0.024,606.5
claude,hbf_tp4x2,ttft5_tpot100,,
claude,oracle_infinite_hbm,turn10,,
claude,oracle_infinite_hbm,turn30,0.016,343.2
claude,oracle_infinite_hbm,turn60,0.026,581.6
claude,oracle_infinite_hbm,ttft5_tpot100,,
codex,baseline_cpu_ssd,turn10,,
codex,baseline_cpu_ssd,turn30,0.0075,439.9
codex,baseline_cpu_ssd,turn60,0.0135,935.5
codex,baseline_cpu_ssd,ttft5_tpot100,,
codex,hbf_tp4x2,turn10,,
codex,hbf_tp4x2,turn30,0.0105,686.4
codex,hbf_tp4x2,turn60,0.015,1068.1
codex,hbf_tp4x2,ttft5_tpot100,0.0075,627.3
codex,oracle_infinite_hbm,turn10,,
codex,oracle_infinite_hbm,turn30,0.012,718.8
codex,oracle_infinite_hbm,turn60,0.0165,1119.9
codex,oracle_infinite_hbm,ttft5_tpot100,0.0075,520.8
