family,rate,system,label,goodput_ttft10_tpot100,goodput_ttft10_tpot100_std,goodput_ttft10_tpot150,goodput_ttft10_tpot150_std,goodput_ttft10_tpot50,goodput_ttft10_tpot50_std,goodput_ttft3_tpot100,goodput_ttft3_tpot100_std,goodput_ttft3_tpot150,goodput_ttft3_tpot150_std,goodput_ttft3_tpot50,goodput_ttft3_tpot50_std,goodput_ttft5_tpot100,goodput_ttft5_tpot100_std,goodput_ttft5_tpot150,goodput_ttft5_tpot150_std,goodput_ttft5_tpot50,goodput_ttft5_tpot50_std,goodput_turn10,goodput_turn10_std,goodput_turn30,goodput_turn30_std,goodput_turn60,goodput_turn60_std,n_seeds,output_tokens_per_s,output_tokens_per_s_std,pass_ttft10_tpot100,pass_ttft10_tpot100_std,pass_ttft10_tpot150,pass_ttft10_tpot150_std,pass_ttft10_tpot50,pass_ttft10_tpot50_std,pass_ttft3_tpot100,pass_ttft3_tpot100_std,pass_ttft3_tpot150,pass_ttft3_tpot150_std,pass_ttft3_tpot50,pass_ttft3_tpot50_std,pass_ttft5_tpot100,pass_ttft5_tpot100_std,pass_ttft5_tpot150,pass_ttft5_tpot150_std,pass_ttft5_tpot50,pass_ttft5_tpot50_std,pass_turn10,pass_turn10_std,pass_turn30,pass_turn30_std,pass_turn60,pass_turn60_std,resume_ttft_p50_s,resume_ttft_p50_s_std,resume_ttft_p99_s,resume_ttft_p99_s_std,tpot_p50_ms,tpot_p50_ms_std,tpot_p99_ms,tpot_p99_ms_std,turn_latency_mean_s,turn_latency_mean_s_std,turn_latency_p50_s,turn_latency_p50_s_std,turn_latency_p99_s,turn_latency_p99_s_std
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,470.486,57.4056,470.486,57.4056,470.486,57.4056,410.518,58.0163,410.518,58.0163,410.518,58.0163,437.918,57.7648,437.918,57.7648,437.918,57.7648,175.82,15.0951,329.705,31.6517,437.076,45.8485,4,587.522,71.753,0.808336,0.0250059,0.808336,0.0250059,0.808336,0.0250059,0.709663,0.0275272,0.709663,0.0275272,0.709663,0.0275272,0.751287,0.0272719,0.751287,0.0272719,0.751287,0.0272719,0.661685,0.0275906,0.854611,0.0163781,0.942916,0.0133033,0.655919,0.067536,108.823,20.051,11.2489,2.4445,27.2287,0.471117,16.1572,1.77971,4.73052,0.716315,141.905,19.3525
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,554.194,74.4725,558.227,74.3198,493.901,59.2076,508.836,65.4741,512.114,65.4859,453.845,54.3108,527.924,69.6984,531.444,69.7856,470.924,56.8359,194.278,11.1149,354.873,30.6483,448.635,47.5106,4,589.879,74.0791,0.919702,0.0150155,0.935,0.011634,0.828301,0.00543792,0.844951,0.0215282,0.858691,0.0177215,0.755957,0.0105256,0.871563,0.0215154,0.885942,0.0179691,0.781047,0.0110776,0.723784,0.0135696,0.914278,0.00804015,0.964415,0.00519737,0.362746,0.0231724,20.5057,3.92702,8.42427,1.33246,166.166,51.1655,12.3133,1.18254,3.82598,0.470269,137.811,15.6589
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,553.125,63.8561,553.127,63.8559,514.671,65.87,524.448,61.6086,524.449,61.6082,493.665,62.3338,539.212,63.4395,539.214,63.4393,504.848,65.7652,188.275,15.7511,343.933,32.3863,440.176,46.1957,4,590.146,74.4091,0.929718,0.017162,0.93057,0.016834,0.831832,0.0395989,0.881217,0.0197688,0.881978,0.0194005,0.800746,0.034251,0.902077,0.0170769,0.902867,0.0167292,0.812976,0.0354304,0.722633,0.0178045,0.908829,0.0168708,0.967365,0.00460928,0.369376,0.0234521,29.5152,6.32318,11.6913,3.52054,68.2461,9.68787,12.4773,1.46003,4.03403,0.532796,147.319,31.1543
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,537.191,33.5374,537.191,33.5374,537.191,33.5374,435.976,30.9079,435.976,30.9079,435.976,30.9079,477.158,33.106,477.158,33.106,477.158,33.106,174.515,16.3033,365.317,14.9892,506.153,16.2668,4,754.453,48.1608,0.732066,0.028796,0.732066,0.028796,0.732066,0.028796,0.599498,0.0362212,0.599498,0.0362212,0.599498,0.0362212,0.649102,0.0347897,0.649102,0.0347897,0.649102,0.0347897,0.562871,0.0360241,0.798474,0.0153702,0.909922,0.011693,1.1934,0.238895,155.885,39.3473,16.5088,2.16989,28.7889,1.13307,22.4308,2.24016,7.62838,1.07704,186.379,31.0246
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,688.886,56.6782,706.785,58.0319,587.372,38.678,632.761,51.9937,649.41,53.7846,534.659,37.0906,654.101,51.5248,671.384,53.289,553.92,35.573,211.658,4.67917,409.786,14.6627,528.36,23.5406,4,765.593,60.5725,0.864785,0.0113326,0.902907,0.0162761,0.758287,0.0152821,0.785245,0.0158964,0.82214,0.0203133,0.680152,0.0229421,0.812226,0.0170979,0.849946,0.0214071,0.706049,0.0234176,0.640494,0.00956183,0.877336,0.00519299,0.94615,0.00505373,0.392383,0.0199165,27.6577,3.68302,12.467,3.3959,224.277,58.0941,16.6675,0.963197,5.37134,0.546659,192.059,13.3095
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,697.452,52.1086,697.459,52.1076,597.61,45.1064,664.974,53.6379,664.98,53.6364,578.747,48.423,680.733,50.396,680.74,50.3945,589.012,45.1156,195.308,19.2956,383.42,21.2227,512.46,23.9544,4,765.941,57.7243,0.896639,0.0185574,0.898698,0.0186098,0.733705,0.0140041,0.85091,0.015285,0.852729,0.0150342,0.711537,0.0106154,0.869476,0.0157452,0.871445,0.0155083,0.720508,0.0116584,0.633545,0.0208582,0.860029,0.0131715,0.949726,0.00752711,0.402608,0.0146097,46.2188,2.22102,19.4182,3.86553,80.9691,3.0103,16.9671,1.29926,5.9607,0.812966,191.226,18.2508
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,582.361,9.68968,582.361,9.68968,582.361,9.68968,426.595,26.9428,426.595,26.9428,426.595,26.9428,482.499,16.0421,482.499,16.0421,482.499,16.0421,153.316,17.9283,380.032,25.0885,583.71,34.7211,4,992.803,16.8707,0.627995,0.0313107,0.627995,0.0313107,0.627995,0.0313107,0.471299,0.0239388,0.471299,0.0239388,0.471299,0.0239388,0.529708,0.0275555,0.529708,0.0275555,0.529708,0.0275555,0.451061,0.029268,0.733525,0.0138041,0.880685,0.0104142,4.07941,0.88166,192.466,34.1531,19.976,0.538373,29.7667,1.05957,29.5838,2.00643,12.3475,1.47595,228.743,32.0298
claude,0.024,hbf_tp4x2,GPU+HBF hybrid,850.598,39.2942,914.558,36.9072,676.265,35.1114,771.187,22.4616,832.64,21.6853,602.415,29.0187,805.451,26.8488,868.074,24.5004,633.679,30.1123,207.986,12.7626,453.374,17.3562,617.28,38.5033,4,1014.42,36.8352,0.791087,0.0193984,0.862164,0.0178503,0.66725,0.0125247,0.720776,0.0228935,0.79081,0.0239971,0.598063,0.0153806,0.747919,0.0220286,0.818726,0.022767,0.624441,0.0149706,0.556618,0.0189729,0.82744,0.00920112,0.922294,0.00482614,0.441001,0.0379638,38.4949,4.24371,18.8134,3.80431,240.618,45.9488,22.7153,0.973427,7.83975,0.692232,267.317,17.8699
claude,0.024,oracle_infinite_hbm,Infinite-HBM oracle,898.601,29.9416,910.169,23.8314,724.912,29.6266,858.187,34.5633,867.854,29.55,698.869,34.2219,876.588,35.9774,886.797,30.8138,710.807,34.1018,187.094,23.0247,416.96,31.3586,587.366,35.2962,4,1020.18,28.7275,0.840194,0.0128868,0.87178,0.0164567,0.660345,0.0116035,0.805756,0.0126016,0.832246,0.0132323,0.6404,0.0122161,0.820967,0.0126293,0.849353,0.0129232,0.648791,0.00975513,0.54007,0.0244582,0.807751,0.00852546,0.923189,0.00316085,0.436083,0.0197114,51.5596,4.57369,27.4228,5.92473,108.971,8.46988,23.0046,1.648,8.60692,0.928632,259.536,24.9142
claude,0.026,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,538.204,2.17132,538.204,2.17132,538.204,2.17132,365.278,21.1099,365.278,21.1099,365.278,21.1099,433.541,10.7617,433.541,10.7617,433.541,10.7617,132.565,19.8552,356.226,30.2416,583.617,36.6357,4,1074.8,18.6016,0.562563,0.0283988,0.562563,0.0283988,0.562563,0.0283988,0.400476,0.0243852,0.400476,0.0243852,0.400476,0.0243852,0.462055,0.0255837,0.462055,0.0255837,0.462055,0.0255837,0.393529,0.0266346,0.677406,0.017249,0.852835,0.0115072,6.83731,1.34695,226.584,33.8214,20.8071,0.403763,30.3122,0.771634,34.8761,2.73999,15.7704,1.95465,269.488,31.6316
