family,rate,system,label,seed,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,106,671.494,672.441,572.965,602.41,603.055,506.744,631.942,632.834,533.897,162.049,319.337,432.282,713.469,0.933788,0.940614,0.800228,0.863595,0.869056,0.732423,0.893629,0.9,0.760523,0.664619,0.876792,0.944255,0.399745,24.3346,12.8236,113.379,16.4674,4.66846,204.991
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,107,461.502,466.681,433.094,431.943,435.944,407.522,442.181,446.458,416.966,175.929,315.367,381.133,484.259,0.922028,0.942188,0.862141,0.851468,0.866736,0.794397,0.873555,0.890009,0.815001,0.747109,0.933146,0.97228,0.321762,20.5777,7.60096,142.357,10.4796,3.35929,121.154
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,108,543.283,545.763,501.357,498.586,500.403,459.216,514.755,516.628,473.728,177.441,341.372,448.153,573.263,0.905234,0.917913,0.820221,0.838264,0.849642,0.756177,0.86541,0.876951,0.781209,0.695709,0.907022,0.969278,0.358807,28.3634,7.33093,156.174,13.0259,4.05624,143.021
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,109,699.292,712.11,666.242,650.237,662.234,620.052,671.299,683.929,640.662,229.09,438.511,568.533,759.093,0.914143,0.93297,0.862992,0.847567,0.86492,0.799025,0.871271,0.889191,0.821254,0.711013,0.911081,0.963593,0.36799,19.8196,8.79697,146.117,12.8769,4.03779,142.347
claude,0.016,hbf_tp4x2,GPU+HBF hybrid,110,609.307,611.821,570.991,552.438,554.377,520.883,577.775,579.796,544.808,178.861,357.303,465.703,643.703,0.924217,0.935439,0.857301,0.851621,0.860765,0.790801,0.880299,0.889997,0.818094,0.70338,0.907454,0.959546,0.431865,39.1826,10.4913,115.624,13.1275,4.43225,142.494
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,101,521.166,521.169,471.939,491.705,491.708,458.045,506.391,506.393,463.693,172.195,310.445,403.113,554.768,0.904262,0.905575,0.773497,0.851576,0.85289,0.75,0.876532,0.877846,0.7608,0.703298,0.900613,0.966433,0.343193,31.6175,9.20028,66.8621,13.4818,4.43713,186.355
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,102,542.65,542.653,501.316,508.927,508.929,472.039,525.672,525.674,487.098,178.287,326.303,421.218,573.865,0.935038,0.936017,0.842672,0.891118,0.891852,0.810252,0.910081,0.910815,0.822608,0.717641,0.894421,0.962687,0.395118,33.7213,15.35,82.2391,13.3667,4.09439,154.468
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,103,502.921,502.922,474.015,481.836,481.837,457.94,492.614,492.615,466.362,206.116,355.212,428.816,533.032,0.938288,0.938819,0.850299,0.890378,0.890909,0.82004,0.909356,0.909887,0.829463,0.746118,0.932847,0.973723,0.357314,20.1184,8.19982,60.4668,10.3468,3.26468,112.602
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,104,645.761,645.762,611.415,615.322,615.323,586.637,632.173,632.174,602.24,196.501,383.772,507.555,698.918,0.941286,0.94187,0.860861,0.891794,0.892261,0.822692,0.912338,0.912922,0.839034,0.723474,0.907436,0.966616,0.381878,32.6035,14.0152,63.4163,12.7139,4.33994,135.85
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,105,567.923,568.742,527.022,547.572,548.387,510.552,559.492,560.31,519.897,190.025,345.013,447.788,605.444,0.922961,0.930375,0.833874,0.881719,0.888554,0.80329,0.906742,0.914041,0.822057,0.713971,0.908133,0.964203,0.387461,27.5993,16.3062,97.7518,13.1145,4.49152,143.766
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,106,672.194,672.195,606.055,622.754,622.755,568.078,650.722,650.723,592.217,148.843,312.254,431.446,721.298,0.938378,0.938604,0.819325,0.884119,0.884345,0.78251,0.902016,0.902243,0.792932,0.660965,0.880494,0.949592,0.447272,29.5342,24.243,64.5814,16.2599,5.48141,188.262
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,107,453.286,453.286,453.273,433.644,433.644,433.635,443.367,443.367,443.355,168.935,306.213,382.092,484.677,0.904106,0.904106,0.899066,0.858307,0.858307,0.854306,0.875204,0.875204,0.870461,0.738402,0.938491,0.979398,0.333478,24.2815,12.5332,48.4398,9.9382,3.66937,99.1223
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,108,528.998,528.998,522.707,496.07,496.07,490.769,508.748,508.749,503.08,160.756,327.304,432.804,572.388,0.898796,0.899121,0.861861,0.830947,0.831272,0.800033,0.852912,0.853238,0.819557,0.677188,0.907908,0.969899,0.377291,27.4805,9.30594,53.7845,13.3479,4.88546,148.026
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,109,716.541,716.544,689.835,685.146,685.148,666.711,700.139,700.141,677.995,210.87,428.436,554.834,761.219,0.927357,0.928264,0.852901,0.882253,0.88316,0.826723,0.904805,0.905712,0.839415,0.69413,0.907412,0.964189,0.38079,28.7513,10.8128,69.9686,13.1144,4.34708,152.314
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,110,594.408,594.41,581.343,549.521,549.522,541.591,574.422,574.424,563.941,168.388,337.169,447.08,638.281,0.92084,0.921397,0.864218,0.856427,0.856984,0.817613,0.88926,0.889816,0.840707,0.696856,0.899277,0.959794,0.465082,39.4717,12.1449,56.0799,13.1513,4.64858,133.254
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,101,539.335,539.335,539.335,424.537,424.537,424.537,471.293,471.293,471.293,158.346,349.397,492.633,747.909,0.700445,0.700445,0.700445,0.559493,0.559493,0.559493,0.610879,0.610879,0.610879,0.516998,0.779158,0.896444,1.53693,203.407,17.7867,28.907,25.3149,9.16907,220.769
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,102,527.05,527.05,527.05,432.32,432.32,432.32,473.407,473.407,473.407,186.866,366.84,491.582,731.386,0.768819,0.768819,0.768819,0.646331,0.646331,0.646331,0.693305,0.693305,0.693305,0.605066,0.816744,0.909502,1.02283,147.689,17.1015,27.45,21.4288,6.67624,173.388
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,103,500.972,500.972,500.972,407.413,407.413,407.413,442.007,442.007,442.007,190.137,385.059,518.768,714.738,0.721634,0.721634,0.721634,0.588376,0.588376,0.588376,0.636157,0.636157,0.636157,0.563792,0.799798,0.924987,1.0393,108.42,13.294,28.5931,20.0823,7.21877,150.114
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,104,581.407,581.407,581.407,479.632,479.632,479.632,521.924,521.924,521.924,162.709,359.974,521.631,823.78,0.737366,0.737366,0.737366,0.603793,0.603793,0.603793,0.656066,0.656066,0.656066,0.56563,0.798196,0.908754,1.17453,164.023,17.8527,30.2055,22.8973,7.44944,201.245
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,105,581.925,581.925,581.925,479.514,479.514,479.514,525.332,525.332,525.332,190.547,400.029,561.392,812.926,0.73799,0.73799,0.73799,0.622139,0.622139,0.622139,0.677485,0.677485,0.677485,0.5741,0.802579,0.914884,1.09907,158.832,17.2895,28.177,22.4917,7.09442,198.954
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,106,557.077,557.077,557.077,370.464,370.464,370.464,451.122,451.122,451.122,126.489,329.475,514.093,935.519,0.671715,0.671715,0.671715,0.501706,0.501706,0.501706,0.565806,0.565806,0.565806,0.488695,0.760026,0.896011,3.02695,133.187,20.1032,29.6813,25.8835,10.3785,200.035
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,107,502.607,502.607,502.607,418.891,418.891,418.891,453.067,453.067,453.067,179.174,373.123,496.025,686.085,0.744277,0.744277,0.744277,0.602224,0.602224,0.602224,0.658077,0.658077,0.658077,0.587835,0.825768,0.919686,1.00651,131.152,14.4621,27.0446,19.4474,6.88542,150.692
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,108,566.277,566.277,566.277,475.763,475.763,475.763,508.9,508.9,508.9,163.377,376.667,545.591,846.249,0.688247,0.688247,0.688247,0.568032,0.568032,0.568032,0.613835,0.613835,0.613835,0.498455,0.773808,0.901142,1.4808,180.552,16.1334,26.339,25.2923,10.0745,226.25
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,109,683.934,683.934,683.934,591.492,591.492,591.492,631.102,631.102,631.102,201.225,432.338,611.085,904.744,0.740624,0.740624,0.740624,0.645165,0.645165,0.645165,0.686737,0.686737,0.686737,0.563488,0.811794,0.933235,0.781491,101.53,14.4633,25.2422,20.008,7.199,154.857
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,110,642.198,642.198,642.198,552.908,552.908,552.908,592.701,592.701,592.701,177.409,375.604,524.561,807.85,0.780922,0.780922,0.780922,0.680217,0.680217,0.680217,0.72087,0.72087,0.72087,0.599407,0.820586,0.913011,0.868614,133.455,15.6083,27.4397,20.2701,6.39859,158.892
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,101,684.778,698.503,589.867,627.924,640.701,535.011,643.982,657.311,549.384,211.911,404.516,519.519,756.346,0.847888,0.879632,0.744623,0.763799,0.793988,0.6617,0.788417,0.819513,0.685281,0.627883,0.871081,0.945841,0.397522,31.2157,10.2572,193.804,16.8238,5.8255,199.814
