baseline,return_gap_type,all_call_count,finite_request_summed_ready_to_complete_seconds,oracle_request_summed_ready_to_complete_seconds,service_slowdown_fraction_of_oracle,paired_service_delta_p50_ms,paired_service_delta_p90_ms,paired_service_delta_p95_ms,paired_service_delta_p99_ms
hbm_lru_recompute,human,31997,462198.245869368,14123.426667664,31.725644898032037,0.0,50104.91916920001,84331.82864999998,117038.05404036005
hbm_lru_recompute,mixed,3097,42232.820896947,1521.2422318,26.762061829545246,0.0,48319.77910320001,63967.71903999999,112206.83975516
hbm_lru_recompute,tool,313179,5470518.476010665,33078.026856493,164.382249060507,0.0,61058.27375300006,103671.20458169996,119629.62066685998
hbm_ssd_direct,human,31997,2237742.104901619,14123.426667664,157.44186807901195,0.0,315257.9768976001,383229.0827151999,442284.84436432
hbm_ssd_direct,mixed,3097,227683.340845154,1521.2422318,148.6693531678707,0.0,326657.50853,388483.77893839986,442138.25954407995
hbm_ssd_direct,tool,313179,26249710.76567949,33078.026856493,792.5694253941523,0.0,350696.07368960005,394296.8520111,447776.0826194199
tiered,human,31997,6257898.745851967,14123.426667664,442.0864331373356,0.0,873226.150814,1040797.5866257995,1117058.7258294802
tiered,mixed,3097,627976.285343391,1521.2422318,411.8049249594801,0.0,891621.9171028003,1033822.9228711999,1118228.10355868
tiered,tool,313179,70448731.02648099,33078.026856493,2128.7742858761953,0.0,913531.4199914,1061386.0212599,1123230.8410996997
