baseline,report_sha256,infinite_hbm_total_capacity_bytes_per_rank,all_call_count,context_infeasible_call_count,finite_request_summed_ready_to_complete_seconds,oracle_request_summed_ready_to_complete_seconds,delta_request_summed_ready_to_complete_seconds,service_slowdown_fraction_of_oracle,paired_service_delta_p50_ms,paired_service_delta_p90_ms,paired_service_delta_p95_ms,paired_service_delta_p99_ms,finite_session_summed_e2e_seconds,oracle_session_summed_e2e_seconds,session_summed_e2e_slowdown_fraction,finite_trace_makespan_seconds,oracle_trace_makespan_seconds,trace_makespan_delta_seconds,trace_makespan_slowdown_fraction
hbm_lru_recompute,7ef6d2cb6ffdf2ffa93fdaccfef3a20aa5367e61792dc09c391899d189584f89,12472541286400,357161,167718,6220667.407047733,53626.526954137,6167040.880093596,114.99981875327919,0.0,59550.936845,102328.1576,119372.00917820001,120696657.83504772,114529616.95495415,0.053846690874022274,6106860.946859992,6103577.765955399,3283.180904593,0.0005379108828440504
hbm_ssd_direct,38118b0f9f7911c6fd61d08cc8382d2b2281df0054ce88a888f54609b6aa48fc,12472541286400,357161,167718,30170177.249323446,53626.526954137,30116550.722369313,561.5980081672244,0.0,349658.475916,393210.404913,447367.0908366001,144646167.67732346,114529616.95495415,0.26295862610118137,6130592.765485527,6103577.765955399,27014.999530128,0.0044260924601982055
tiered,6a7f3fa101be501f781d100b37bae113c131945661c65d8bbaa74b4a76ac6e93,12472541286400,357161,167718,81038371.34026492,53626.526954137,80984744.81331077,1510.1620301193723,0.0,911707.417332,1059258.816944,1122639.893258,195514361.7682649,114529616.95495415,0.7071074449254733,6174652.278989707,6103577.765955399,71074.513034308,0.011644729658520703
