baseline,restore_execution_mode,request_summed_raw_restore_seconds,request_summed_hidden_by_prefill_seconds,request_summed_exposed_owner_decode_barrier_seconds,request_summed_other_concurrent_or_admission_seconds,hidden_fraction_of_raw_restore,exposed_fraction_of_raw_restore,wall_clock_raw_restore_union_seconds,wall_clock_exposed_owner_barrier_union_seconds,aggregate_decode_admission_wait_seconds,transfer_queue_service_seconds,transfer_queue_wait_seconds,recompute_fraction_executed_prompt_compute,finite_request_summed_service_seconds,oracle_request_summed_service_seconds,service_slowdown_fraction_of_oracle,offered_no_active_call_fraction
hbm_lru_recompute,async-decode-join,4934.614454436,2226.915610576,2707.610000755,0.088843105,0.4512846203362658,0.5486973756016497,4725.383237233,2634.960525693,5745715.014085793,11391.533803675,1543.056126919,0.8967206630791316,6220667.407047733,53626.526954137,114.99981875327919,0.990942421649149
hbm_ssd_direct,async-decode-join,28771360.63845668,15160.083052025,1022500.115794321,27733700.439610332,0.0005269157493984337,0.035538816833973995,63625.906649948,61833.380445773,30031311.45810726,96089.80654977,840142.086194416,0.0,30170177.249323446,53626.526954137,561.5980081672244,0.9875778944657746
tiered,async-decode-join,77408198.50579005,15289.298227629,1972149.78423844,75420759.42332397,0.000197515231238528,0.02547727272184128,117847.238442629,116186.877954675,80794115.90470189,125676.931318756,741308.822972001,0.0,81038371.34026492,53626.526954137,1510.1620301193723,0.9789904303585693
