family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.004,hbf_prefill_p4d4,gt_512k,2264,3.559344,2.362311,5.547041,8.892518,10.293149,21.972097
claude,0.004,hbf_prefill_p4d4,lt_16k,353,1.364914,0.132343,2.295666,4.685342,3.438838,6.201888
claude,0.004,oracle_infinite_hbm,128k_256k,4308,0.691757,0.471182,1.183232,1.886395,5.523737,11.994637
claude,0.004,oracle_infinite_hbm,16k_64k,3438,0.38912,0.147796,0.821192,1.377178,3.294973,6.879417
claude,0.004,oracle_infinite_hbm,256k_512k,2867,1.103457,0.899415,1.766476,2.662766,8.502184,19.849836
claude,0.004,oracle_infinite_hbm,64k_128k,3614,0.52346,0.267837,0.993801,1.719412,5.502612,12.280984
claude,0.004,oracle_infinite_hbm,gt_512k,2264,2.55705,2.164747,4.437379,5.026317,9.485677,19.214169
claude,0.004,oracle_infinite_hbm,lt_16k,353,1.239869,0.131138,2.020549,4.245517,3.293137,5.569303
claude,0.006,baseline_cpu_ssd,128k_256k,6102,1.638436,0.530044,2.469872,5.770812,7.732814,17.723979
claude,0.006,baseline_cpu_ssd,16k_64k,5264,0.917251,0.165008,1.503823,2.847426,4.612127,9.983606
claude,0.006,baseline_cpu_ssd,256k_512k,3998,2.619116,0.996323,4.796779,10.019144,11.076955,26.467032
claude,0.006,baseline_cpu_ssd,64k_128k,5490,1.264074,0.293074,1.921639,3.862645,7.355536,16.880916
claude,0.006,baseline_cpu_ssd,gt_512k,3854,9.607394,2.880547,22.682621,36.822381,17.06342,38.662713
claude,0.006,baseline_cpu_ssd,lt_16k,563,4.175552,0.129608,2.853931,21.477041,6.939621,9.932853
claude,0.006,hbf_prefill_p4d4,128k_256k,6110,1.550816,0.524267,2.280681,4.083813,7.62147,17.073855
claude,0.006,hbf_prefill_p4d4,16k_64k,5277,0.906362,0.172218,1.483491,2.642391,4.614389,9.418278
claude,0.006,hbf_prefill_p4d4,256k_512k,4005,2.525028,0.979376,3.966701,8.125851,11.069101,25.596378
claude,0.006,hbf_prefill_p4d4,64k_128k,5510,1.148364,0.297311,1.746731,3.339796,7.066905,16.141987
claude,0.006,hbf_prefill_p4d4,gt_512k,3861,8.116742,2.724087,17.554004,32.388994,15.654334,35.720275
claude,0.006,hbf_prefill_p4d4,lt_16k,562,4.153592,0.148301,2.905708,19.739222,6.842387,8.261774
claude,0.006,oracle_infinite_hbm,128k_256k,6162,1.327928,0.498689,1.644313,2.63068,7.551992,16.108885
claude,0.006,oracle_infinite_hbm,16k_64k,5285,0.745275,0.158957,1.1433,2.168096,4.603943,9.257068
claude,0.006,oracle_infinite_hbm,256k_512k,4020,1.715949,0.912069,2.101875,3.349235,10.852645,25.905666
claude,0.006,oracle_infinite_hbm,64k_128k,5537,0.920484,0.282189,1.358098,2.365723,6.982392,16.08824
claude,0.006,oracle_infinite_hbm,gt_512k,3890,3.12796,2.12954,5.338669,6.167746,11.617328,24.612068
claude,0.006,oracle_infinite_hbm,lt_16k,562,4.281506,0.113828,2.418045,20.7245,6.911606,8.816397
codex,0.0005,baseline_cpu_ssd,128k_256k,6158,0.621224,0.394614,1.146419,1.847707,2.26273,4.995746
codex,0.0005,baseline_cpu_ssd,16k_64k,2936,0.267139,0.122842,0.512559,0.784811,1.979289,4.194763
codex,0.0005,baseline_cpu_ssd,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,baseline_cpu_ssd,64k_128k,5396,0.412989,0.219079,0.719198,1.232172,1.93978,4.161957
codex,0.0005,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
