family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.004,hbf_prefill_p4d4,gt_12h,32,1.52005,0.950834,3.001995,4.208861,14.949764,28.181125
claude,0.004,hbf_prefill_p4d4,lt_1m,14514,0.926878,0.421244,1.948255,2.861527,5.622715,12.773784
claude,0.004,oracle_infinite_hbm,1h_4h,50,1.675369,0.26445,1.58407,7.509385,14.429491,38.013777
claude,0.004,oracle_infinite_hbm,1m_5m,1525,1.813256,0.837366,4.205979,4.663481,7.799821,17.115808
claude,0.004,oracle_infinite_hbm,30m_1h,132,1.276651,0.909103,2.419644,3.250898,8.334301,13.045576
claude,0.004,oracle_infinite_hbm,4h_12h,28,0.725947,0.600298,1.474587,1.781412,18.832998,44.851953
claude,0.004,oracle_infinite_hbm,5m_30m,553,1.290264,0.673403,2.270677,3.162145,9.488055,22.197788
claude,0.004,oracle_infinite_hbm,gt_12h,32,0.87554,0.791317,1.6586,2.359705,13.891299,30.440683
claude,0.004,oracle_infinite_hbm,lt_1m,14524,0.789801,0.409737,1.84505,2.466324,5.533705,12.666777
claude,0.006,baseline_cpu_ssd,1h_4h,80,9.622293,1.546168,24.679189,42.392859,22.96333,59.001667
claude,0.006,baseline_cpu_ssd,1m_5m,2380,6.444356,1.290484,13.824239,29.850467,13.540961,33.123891
claude,0.006,baseline_cpu_ssd,30m_1h,212,5.496009,1.564126,13.52653,16.230248,12.966103,22.441497
claude,0.006,baseline_cpu_ssd,4h_12h,43,5.956419,1.619122,12.172201,25.389874,27.289429,58.784051
claude,0.006,baseline_cpu_ssd,5m_30m,831,6.7033,1.097643,13.578885,30.34241,16.436478,36.190129
claude,0.006,baseline_cpu_ssd,gt_12h,50,4.032378,1.445927,13.774343,16.757406,15.724625,35.055901
claude,0.006,baseline_cpu_ssd,lt_1m,21675,2.260541,0.506291,3.739141,8.709451,7.952814,18.739202
claude,0.006,hbf_prefill_p4d4,1h_4h,80,7.307693,0.673892,14.359119,34.228609,20.474981,44.782636
claude,0.006,hbf_prefill_p4d4,1m_5m,2390,5.41509,1.260207,8.263085,18.624173,12.398835,29.275469
claude,0.006,hbf_prefill_p4d4,30m_1h,212,5.245441,1.513766,11.436704,18.217739,12.189501,23.549305
claude,0.006,hbf_prefill_p4d4,4h_12h,43,4.306139,0.8304,4.26377,17.017233,24.833377,61.970674
claude,0.006,hbf_prefill_p4d4,5m_30m,831,5.755563,1.039776,10.638091,29.406005,15.260032,36.754202
claude,0.006,hbf_prefill_p4d4,gt_12h,50,1.782625,1.03501,3.303109,5.591285,13.691852,32.011793
claude,0.006,hbf_prefill_p4d4,lt_1m,21719,2.077706,0.511912,3.308585,6.824586,7.788077,18.098224
claude,0.006,oracle_infinite_hbm,1h_4h,80,4.127683,0.424388,13.113228,20.112034,17.002469,41.126499
claude,0.006,oracle_infinite_hbm,1m_5m,2434,2.946724,1.003633,5.685197,6.233931,10.265429,24.382625
claude,0.006,oracle_infinite_hbm,30m_1h,213,2.976987,1.119923,2.347106,3.893097,10.585969,16.623212
claude,0.006,oracle_infinite_hbm,4h_12h,43,2.794219,0.795558,1.86044,9.456261,25.362767,61.174251
claude,0.006,oracle_infinite_hbm,5m_30m,834,3.362539,0.72276,2.876436,10.601084,13.299323,28.394677
claude,0.006,oracle_infinite_hbm,gt_12h,50,0.952035,0.628925,2.185521,2.45995,13.951402,28.89292
claude,0.006,oracle_infinite_hbm,lt_1m,21802,1.263653,0.460496,2.291411,2.970887,7.297478,16.265514
codex,0.0005,baseline_cpu_ssd,1h_4h,35,7.695143,1.478662,20.614285,28.075656,10.092609,22.989252
codex,0.0005,baseline_cpu_ssd,1m_5m,762,1.706528,0.354603,3.348073,8.533003,3.381381,7.047215
codex,0.0005,baseline_cpu_ssd,30m_1h,52,7.170042,6.193715,18.429937,22.353676,9.767394,20.367336
codex,0.0005,baseline_cpu_ssd,4h_12h,15,6.14819,2.42137,15.732611,17.839965,8.226707,17.270165
codex,0.0005,baseline_cpu_ssd,5m_30m,364,3.875884,0.691837,13.339678,26.113445,6.108098,17.297492
codex,0.0005,baseline_cpu_ssd,gt_12h,12,2.671231,1.220884,6.327266,7.256104,4.967054,8.628098
codex,0.0005,baseline_cpu_ssd,lt_1m,14058,0.523264,0.249397,0.785745,1.44849,2.129044,4.609735
codex,0.0005,hbf_prefill_p4d4,1h_4h,35,8.233432,1.68781,22.007483,29.736692,10.647312,24.325642
codex,0.0005,hbf_prefill_p4d4,1m_5m,762,1.774389,0.35735,3.424179,8.13236,3.439384,7.347257
codex,0.0005,hbf_prefill_p4d4,30m_1h,52,7.686748,6.652455,19.701735,24.004575,10.293089,21.630924
