session_count,system,label,seed_count,seeds,joint_slo_pass_fraction_mean,joint_slo_pass_fraction_ci95_lower,joint_slo_pass_fraction_ci95_upper,slo_loose_mean,slo_loose_ci95_lower,slo_loose_ci95_upper,slo_medium_mean,slo_medium_ci95_lower,slo_medium_ci95_upper,slo_tight_mean,slo_tight_ci95_lower,slo_tight_ci95_upper,goodput_loose_mean,goodput_loose_ci95_lower,goodput_loose_ci95_upper,goodput_medium_mean,goodput_medium_ci95_lower,goodput_medium_ci95_upper,goodput_tight_mean,goodput_tight_ci95_lower,goodput_tight_ci95_upper,first_ttft_p50_s_mean,first_ttft_p50_s_ci95_lower,first_ttft_p50_s_ci95_upper,first_ttft_p95_s_mean,first_ttft_p95_s_ci95_lower,first_ttft_p95_s_ci95_upper,resume_ttft_p50_s_mean,resume_ttft_p50_s_ci95_lower,resume_ttft_p50_s_ci95_upper,resume_ttft_p95_s_mean,resume_ttft_p95_s_ci95_lower,resume_ttft_p95_s_ci95_upper,tpot_p50_ms_mean,tpot_p50_ms_ci95_lower,tpot_p50_ms_ci95_upper,tpot_p95_ms_mean,tpot_p95_ms_ci95_lower,tpot_p95_ms_ci95_upper,output_tokens_per_s_mean,output_tokens_per_s_ci95_lower,output_tokens_per_s_ci95_upper,measurement_window_s_mean,measurement_window_s_ci95_lower,measurement_window_s_ci95_upper,wall_s_mean,wall_s_ci95_lower,wall_s_ci95_upper,peak_rss_mb_mean,peak_rss_mb_ci95_lower,peak_rss_mb_ci95_upper,cpu_prepare_hits_mean,ssd_prepare_hits_mean,d_prepare_hits_mean,d_drops_mean,d_to_cpu_started_mean,d_to_ssd_started_mean,capacity_evictions_mean,migrations_committed_mean,promotion_load_deferrals_mean,recompute_resumes_mean,lower_tier_hits_mean,stable_d_hits_mean,scored_calls_mean,hbf_write_bytes_mean,full_horizon_s_mean,hbf_write_tb_per_day_optimistic,hbf_write_tb_per_day_conservative,hbf_reserved_bytes_peak_mean,hbf_fill_fraction
64,baseline_cpu_ssd,2xHBM+SSD tiering,3,101;102;103,0.9867758609125885,0.9839549866187439,0.9895967352064331,0.9867758609125885,0.9839549866187439,0.9895967352064331,0.9363988688770221,0.9182099995637931,0.954587738190251,0.8777251424281817,0.846126171451205,0.9093241134051584,10.378101240744106,6.343881612234662,14.412320869253552,9.91225467285585,5.958025074237293,13.866484271474407,9.149865882906939,5.658625673023824,12.641106092790054,17.163554173333335,10.151639025542686,24.175469321123984,59.517463991016655,34.89751392397331,84.13741405806,0.35603619616666665,0.32334254882202024,0.38872984351131307,5.028401248466669,3.154415620447542,6.902386876485796,4.905314605757625,4.651356991350926,5.159272220164325,13.629138914348223,12.893100433842143,14.365177394854303,10.550495789151052,6.489260248773689,14.611731329528414,67686.499349779,42285.29112153567,93087.70757802232,101.15936422348022,100.16073099653276,102.15799745042769,6304.104166666667,3099.098084195661,9509.110249137673,0.0,0.0,12411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12411.0,1563.0,0.0,67686.499349779,0.0,0.0,0.0,0.0
64,hbf_tp8_context,HBM+HBF (tp8_context),3,101;102;103,0.9802817498424856,0.9779628592481335,0.9826006404368377,0.9802817498424856,0.9779628592481335,0.9826006404368377,0.9633813360300048,0.9576928991731266,0.9690697728868829,0.9380135946167042,0.9273525870152919,0.9486746022181165,10.376137615688757,6.3412843645075405,14.410990866869973,10.238455005484253,6.276163135423065,14.200746875545441,10.003884821551868,6.115495397548561,13.892274245555175,34.0291151315,23.882932851216758,44.17529741178324,98.94311078626667,49.95760020447137,147.92862136806198,0.17238957200000002,0.14956752339861215,0.1952116206013879,1.671585985416667,1.2738521922823591,2.069319778550975,6.425747699378777,6.176352294902217,6.675143103855338,18.116105779517017,15.228619136048955,21.00359242298508,10.55245904223565,6.478467405420631,14.62645067905067,67712.17522093134,42224.49609589392,93199.85434596876,418.9107719262441,397.06811683008874,440.7534270223994,918.76953125,910.780791707319,926.758270792681,0.0,22.0,121.0,0.0,0.0,190.66666666666666,0.0,46.666666666666664,1692.3333333333333,0.0,22.0,1.6666666666666667,1563.0,1473288765440.0,67712.17522093134,1.8799004598314422,1.8799004598314422,197316640768.0,0.019384678334610474
64,oracle_infinite_hbm,Infinite-HBM Oracle,3,101;102;103,0.9867758609125885,0.9839549866187439,0.9895967352064331,0.9867758609125885,0.9839549866187439,0.9895967352064331,0.9363988688770221,0.9182099995637931,0.954587738190251,0.8777251424281817,0.846126171451205,0.9093241134051584,10.378101240744106,6.343881612234662,14.412320869253552,9.91225467285585,5.958025074237293,13.866484271474407,9.149865882906939,5.658625673023824,12.641106092790054,17.163554173333335,10.151639025542686,24.175469321123984,59.517463991016655,34.89751392397331,84.13741405806,0.35603619616666665,0.32334254882202024,0.38872984351131307,5.028401248466669,3.154415620447542,6.902386876485796,4.905314605757625,4.651356991350926,5.159272220164325,13.629138914348223,12.893100433842143,14.365177394854303,10.550495789151052,6.489260248773689,14.611731329528414,67686.499349779,42285.29112153567,93087.70757802232,95.90513555208842,94.3725354808954,97.43773562328145,5464.6328125,4692.548637470913,6236.716987529087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.0,0.0,67686.499349779,0.0,0.0,0.0,0.0
128,baseline_cpu_ssd,2xHBM+SSD tiering,3,101;102;103,0.9863673404823272,0.9824224520413711,0.9903122289232833,0.9863673404823272,0.9824224520413711,0.9903122289232833,0.9399498144702498,0.931933884639629,0.9479657443008707,0.8891053353593343,0.8664423014880739,0.9117683692305948,5.8646245787524265,-0.6112917886799076,12.34054094618476,5.6502182499707345,-0.6429591254973195,11.94339562543879,5.341424419229964,-0.7190226631456884,11.401871501605616,22.303235620166664,19.93989508029709,24.666576160036236,59.92083164401662,42.76215237893606,77.0795109090972,0.3575424821666666,0.32412315904357414,0.3909618052897591,5.668482798999992,4.548268393349121,6.788697204650864,4.952666773904911,4.8539883082663025,5.051345239543519,20.468833701122502,20.154660960871553,20.783006441373452,5.953297409242765,-0.6241939024923546,12.530788720977885,701739.483092252,276424.98093563237,1127053.9852488716,289.585325717926,289.56970442129034,289.6009470145617,4671.578125,4663.189246956477,4679.967003043523,1082.0,0.0,36646.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,1082.0,36621.0,6203.0,0.0,701739.483092252,0.0,0.0,0.0,0.0
128,hbf_tp8_context,HBM+HBF (tp8_context),3,101;102;103,0.9853969114211228,0.9798783457209341,0.9909154771213116,0.9853969114211228,0.9798783457209341,0.9909154771213116,0.9682401657973211,0.9585787698512525,0.9779015617433897,0.945550840014055,0.9280390140234119,0.963062666004698,5.906088437062941,-0.6348356281954413,12.447012502321323,5.7897513438666595,-0.6444191458056716,12.223921833538991,5.669492856227476,-0.6789834548032765,12.017969167258228,55.914940699166664,32.12112156014203,79.7087598381913,120.80624850434992,97.0267862067376,144.58571080196225,0.17319871166666667,0.15514192887700026,0.19125549445633308,1.7359368012999987,1.1108368440935341,2.3610367585064633,6.444927377180643,6.159863595471241,6.729991158890045,29.513199604005894,26.78880349018665,32.23759571782514,5.9477940126388225,-0.6196327779721118,12.515220803249758,701937.2908342379,276756.1084183044,1127118.4732501714,2092.056541045507,2074.3419614195905,2109.7711206714234,1212.9244791666667,1200.0275445377822,1225.8214137955513,0.0,78.0,1072.3333333333333,0.0,0.0,1246.0,0.0,95.66666666666667,5649.0,0.0,78.0,3.3333333333333335,6203.0,3795934248960.0,701937.2908342379,0.4672336452168825,0.4672336452168825,417145913344.0,0.04098103088161902
128,oracle_infinite_hbm,Infinite-HBM Oracle,3,101;102;103,0.9866021797947327,0.982125979076617,0.9910783805128485,0.9866021797947327,0.982125979076617,0.9910783805128485,0.9411728340375367,0.9345858366969091,0.9477598313781643,0.8906862677000226,0.8680641863740374,0.9133083490260078,5.86927020056423,-0.6248276057079121,12.363368006836373,5.649601092516114,-0.6228567508201719,11.922058935852402,5.339137851688627,-0.6686578283661575,11.346933531743412,22.303235620166664,19.93989508029709,24.666576160036236,61.77993615136665,51.245830389002265,72.31404191373103,0.35481649433333334,0.3196376642799242,0.3899953243867425,5.61526031974999,4.506579303905132,6.723941335594849,4.96065502213884,4.863011661095533,5.058298383182147,20.331662943909006,20.03859357244026,20.624732315377752,5.953224152343606,-0.6240862667907976,12.53053457147801,701736.7741010293,276430.26654288295,1127043.2816591756,283.8187499841054,280.2191879167498,287.41831205146104,5996.7578125,5361.38601174943,6632.12961325057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6203.0,0.0,701736.7741010293,0.0,0.0,0.0,0.0
192,baseline_cpu_ssd,2xHBM+SSD tiering,3,101;102;103,0.9839821057161914,0.9803961123456391,0.9875680990867437,0.9839821057161914,0.9803961123456391,0.9875680990867437,0.8904302219970629,0.8654203145911022,0.9154401294030236,0.822902664082028,0.7934463071340564,0.8523590210299995,21.53864637662619,15.374591019587754,27.702701733664625,19.4564004038117,13.12399551500031,25.78880529262309,17.569385594672905,11.78959472495577,23.34917646439004,21.438535960333336,14.74471876730431,28.132353153362363,57.15288134225,39.88239165778403,74.42337102671597,0.42945066083333333,0.38760281193484236,0.4712985097318243,12.797167570633306,9.70507339751554,15.889261743751073,5.677886148584565,5.195073900015962,6.160698397153168,23.026745070212456,22.636319639823952,23.41717050060096,21.912796086577,15.735167121906546,28.090425051247454,237476.46266454065,177690.44018396843,297262.4851451129,538.6252375443777,506.49484710459564,570.7556279841597,7405.412760416667,5279.658398543254,9531.16712229008,8752.0,0.0,42863.0,0.0,9272.0,0.0,0.0,0.0,0.0,0.0,8752.0,42545.0,10049.666666666666,0.0,237477.60451105467,0.0,0.0,0.0,0.0
192,hbf_tp8_context,HBM+HBF (tp8_context),3,101;102;103,0.9853340990558116,0.9837425192872583,0.9869256788243649,0.9853340990558116,0.9837425192872583,0.9869256788243649,0.9597422392093082,0.9500376777514082,0.9694468006672082,0.9271612456609147,0.9116807745070784,0.9426417168147511,21.686781374373506,15.530954164428202,27.84260858431881,21.04644610666855,14.921246785976312,27.17164542736079,20.457922393869932,14.461522960468532,26.454321827271333,42.4192026245,33.89036481028209,50.94804043871792,100.90219748733334,73.86259664455356,127.94179833011312,0.19048145149999998,0.16503694871418628,0.21592595428581368,2.172957217483331,1.8674072323093514,2.478507202657311,8.080838745104517,7.488923350533237,8.672754139675797,60.63358097644033,48.81889001746217,72.44827193541849,21.866934338124832,15.718142863919276,28.015725812330388,237972.68290641668,177880.0961612726,298065.26965156075,3748.7969801425934,3693.0433296744927,3804.550630610694,1281.7955729166667,1278.7644928616512,1284.8266529716823,0.0,203.66666666666666,1144.0,0.0,0.0,1495.0,0.0,147.0,38610.333333333336,0.0,203.66666666666666,5.0,10049.666666666666,5757020798976.0,237973.82475293067,2.090173562356886,2.090183591480257,665523912704.0,0.065382052530111
192,oracle_infinite_hbm,Infinite-HBM Oracle,3,101;102;103,0.9837887946925176,0.980958936277633,0.9866186531074022,0.9837887946925176,0.980958936277633,0.9866186531074022,0.9062598225651142,0.8848095298370391,0.9277101152931893,0.8553600217496228,0.8326123920240118,0.8781076514752337,21.598414642982945,15.403827305596803,27.793001980369088,19.839948863680693,13.564639270729774,26.11525845663161,18.352474414651372,12.540159321653896,24.164789507648848,21.901010460166663,16.385149833819167,27.41687108651416,60.78953401983333,48.04158563708478,73.53748240258189,0.3901157058333333,0.3394676234848479,0.44076378818181877,13.067154480816663,9.073169390552113,17.061139571081213,5.699037213250907,5.160741471177252,6.237332955324563,28.122776054166238,25.61945018887077,30.626101919461707,21.919919109505503,15.754613348875578,28.085224870135427,237396.77961488065,177476.21304080746,297317.34618895384,480.8185997804006,479.2877958583994,482.34940370240173,11012.87890625,11006.448283667758,11019.309528832242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10049.666666666666,0.0,237397.92146139467,0.0,0.0,0.0,0.0
256,baseline_cpu_ssd,2xHBM+SSD tiering,3,101;102;103,0.9753724564473831,0.9735016769963226,0.9772432358984436,0.9753724564473831,0.9735016769963226,0.9772432358984436,0.8234350143810493,0.816623720099034,0.8302463086630646,0.7398822500608936,0.7302786102624084,0.7494858898593788,16.51977873781747,6.938373713364605,26.101183762270338,14.010642732665145,5.8330914203115665,22.188194045018726,12.50431459790093,5.205082542023656,19.803546653778202,16.868973715666666,12.413856814481075,21.324090616852256,56.793550837949994,44.25387314342767,69.33322853247232,0.5806686521666666,0.541030364366105,0.6203069399672283,20.218358306316677,19.64822687774171,20.788489734891645,8.334853518562351,8.008519328056042,8.66118770906866,23.310118010125823,23.250435887427283,23.369800132824363,16.988535587676562,7.164422084173259,26.812649091179864,488466.9929650623,66622.15489049966,910311.831039625,710.1713155110677,688.9246206530127,731.4180103691228,4954.2578125,4395.810407262428,5512.705217737572,16749.0,0.0,49254.0,0.0,17410.0,0.0,0.0,0.0,0.0,0.0,16749.0,48999.0,10831.666666666666,0.0,488466.9929650623,0.0,0.0,0.0,0.0
