session_count,slo_level,baseline_goodput_tok_s,hbf_goodput_tok_s,oracle_goodput_tok_s,baseline_tco_usd,hbf_tco_usd,baseline_capex_usd,hbf_capex_usd,baseline_opex_usd,hbf_opex_usd,baseline_it_power_w,hbf_it_power_w,baseline_goodput_per_musd,hbf_goodput_per_musd,hbf_over_baseline_goodput,hbf_over_baseline_tco,hbf_over_baseline_goodput_per_dollar,hbf_write_bytes,hbf_write_tb_per_day_optimistic,hbf_write_tb_per_day_conservative,endurance_years_slc_100k_waf1_optimistic,endurance_years_slc_100k_waf1_conservative,endurance_years_slc_100k_waf2_optimistic,endurance_years_slc_100k_waf2_conservative,endurance_years_slc_100k_waf4_optimistic,endurance_years_slc_100k_waf4_conservative
64,tight,9.149865882906939,10.003884821551868,9.149865882906939,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,14.432723108367147,18.361577383483127,1.0933367712241924,0.8593938610889403,1.2722185027466013,1473288765440.0,1.8799004598314422,1.8799004598314422,1483.4005050486062,1483.4005050486062,741.7002525243031,741.7002525243031,370.85012626215155,370.85012626215155
128,tight,5.341424419229964,5.669492856227476,5.339137851688627,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,8.425402146170555,10.406040619385777,1.0614196534947522,0.8593938610889403,1.2350793990427442,3795934248960.0,0.4672336452168825,0.4672336452168825,5968.41712942274,5968.41712942274,2984.20856471137,2984.20856471137,1492.104282355685,1492.104282355685
192,tight,17.569385594672905,20.457922393869932,18.352474414651372,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,27.713420143759233,37.54938524792646,1.164407388273887,0.8593938610889403,1.35491704210973,5757020798976.0,2.090173562356886,2.090183591480257,1334.1692488017998,1334.162847188062,667.0846244008999,667.081423594031,333.54231220044994,333.5407117970155
256,tight,12.50431459790093,15.248843054568757,13.81754633721871,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,19.723929570220232,27.988408178375963,1.2194865168482363,0.8593938610889403,1.4190077123695315,7596391923712.0,1.339752945985226,1.339752945985226,2081.462332224511,2081.462332224511,1040.7311661122556,1040.7311661122556,520.3655830561278,520.3655830561278
384,tight,4.702993794334424,6.0787432636577465,5.664407407976564,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,7.418360889944871,11.157197111018316,1.292526320358035,0.8593938610889403,1.5039976184147643,10239823118336.0,0.8120542182874203,0.8120557834474497,3434.0629341673457,3434.056315338747,1717.0314670836729,1717.0281576693735,858.5157335418364,858.5140788346868
