family,system,rate,n_seeds,seeds,counter_capacity_evictions_mean,counter_cpu_prepare_hits_mean,counter_d_drops_mean,counter_d_prepare_hits_mean,counter_d_to_cpu_started_mean,counter_d_to_ssd_started_mean,counter_gpu_hbm_idle_release_events_mean,counter_lower_tier_hits_mean,counter_migrations_committed_mean,counter_promotion_load_deferrals_mean,counter_recompute_resumes_mean,counter_ssd_prepare_hits_mean,counter_stable_d_hits_mean,first_ttft_p50_s_ci95,first_ttft_p50_s_mean,first_ttft_p95_s_ci95,first_ttft_p95_s_mean,first_ttft_p99_s_ci95,first_ttft_p99_s_mean,goodput_ttft10_tpot100_ci95,goodput_ttft10_tpot100_mean,goodput_ttft10_tpot150_ci95,goodput_ttft10_tpot150_mean,goodput_ttft10_tpot50_ci95,goodput_ttft10_tpot50_mean,goodput_ttft3_tpot100_ci95,goodput_ttft3_tpot100_mean,goodput_ttft3_tpot150_ci95,goodput_ttft3_tpot150_mean,goodput_ttft3_tpot50_ci95,goodput_ttft3_tpot50_mean,goodput_ttft5_tpot100_ci95,goodput_ttft5_tpot100_mean,goodput_ttft5_tpot150_ci95,goodput_ttft5_tpot150_mean,goodput_ttft5_tpot50_ci95,goodput_ttft5_tpot50_mean,horizon_s_ci95,horizon_s_mean,measurement_window_s_ci95,measurement_window_s_mean,offered_arrivals_ci95,offered_arrivals_mean,output_tokens_ci95,output_tokens_mean,output_tokens_per_s_ci95,output_tokens_per_s_mean,peak_hbf_reserved_bytes_peak_mean,peak_peak_used_bytes_mean,peak_rss_mb_ci95,peak_rss_mb_mean,phase_admission_wait_mean_s_mean,phase_admission_wait_p95_s_mean,phase_admission_wait_share_of_mean_mean,phase_capacity_deferrals_mean,phase_prefill_queue_and_compute_mean_s_mean,phase_prefill_queue_and_compute_p95_s_mean,phase_prefill_queue_and_compute_share_of_mean_mean,phase_restore_transfer_mean_s_mean,phase_restore_transfer_p95_s_mean,phase_restore_transfer_share_of_mean_mean,phase_resume_ttft_total_mean_s_mean,phase_resume_ttft_total_p95_s_mean,phase_resume_ttft_total_share_of_mean_mean,preloaded_cpu_mean,preloaded_d_mean,preloaded_hbf_mean,preloaded_skipped_mean,preloaded_ssd_mean,resident_sessions_ci95,resident_sessions_mean,resume_ttft_p50_s_ci95,resume_ttft_p50_s_mean,resume_ttft_p95_s_ci95,resume_ttft_p95_s_mean,resume_ttft_p99_s_ci95,resume_ttft_p99_s_mean,scored_calls_ci95,scored_calls_mean,slo_pass_ttft10_tpot100_ci95,slo_pass_ttft10_tpot100_mean,slo_pass_ttft10_tpot150_ci95,slo_pass_ttft10_tpot150_mean,slo_pass_ttft10_tpot50_ci95,slo_pass_ttft10_tpot50_mean,slo_pass_ttft3_tpot100_ci95,slo_pass_ttft3_tpot100_mean,slo_pass_ttft3_tpot150_ci95,slo_pass_ttft3_tpot150_mean,slo_pass_ttft3_tpot50_ci95,slo_pass_ttft3_tpot50_mean,slo_pass_ttft5_tpot100_ci95,slo_pass_ttft5_tpot100_mean,slo_pass_ttft5_tpot150_ci95,slo_pass_ttft5_tpot150_mean,slo_pass_ttft5_tpot50_ci95,slo_pass_ttft5_tpot50_mean,target_concurrency_ci95,target_concurrency_mean,tpot_mean_ms_ci95,tpot_mean_ms_mean,tpot_p50_ms_ci95,tpot_p50_ms_mean,tpot_p95_ms_ci95,tpot_p95_ms_mean,tpot_p99_ms_ci95,tpot_p99_ms_mean,turn_latency_mean_s_ci95,turn_latency_mean_s_mean,turn_latency_p50_s_ci95,turn_latency_p50_s_mean,turn_latency_p99_s_ci95,turn_latency_p99_s_mean,wall_s_ci95,wall_s_mean,write_complete_for_endurance_projection_mean,write_total_physical_write_bytes_mean,write_wasted_physical_write_bytes_mean
claude,baseline_cpu_ssd,0.0005,3,101;102;103,0.0,0.0,0.0,13058.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13058.0,0.08138876671034267,0.2894816691666667,25.301001196065684,11.07434377486666,2.8646396404985928,22.017765860353332,6.896149663406632,12.633432757867771,6.896149663406632,12.633432757867771,6.896149663406632,12.633432757867771,6.4091840132922755,12.333007971883767,6.4091840132922755,12.333007971883767,6.4091840132922755,12.333007971883767,6.741242927479204,12.533532719127919,6.741242927479204,12.533532719127919,6.741242927479204,12.533532719127919,0.0,220330.244889286,0.0,220330.244889286,20.233761640167433,104.33333333333333,1552641.0243367015,2801643.6666666665,7.046881035860009,12.715656300724703,0.0,167850016768.0,534.430409633157,2371.5833333333335,3.0492367452509647e-07,0.0,5.202437620956619e-07,0.0,0.5163207758446083,1.3648042349333327,0.9834182761294734,0.008972018202831797,0.025675220883333325,0.016581203626764518,0.5252930989711148,1.388121433466666,,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.23830628134130946,0.31226399,1.181062639646581,1.388121433466666,1.588170208698133,2.926140492339997,3177.254249007904,4474.666666666667,0.0036352591831414235,0.9969273971305049,0.0036352591831414235,0.9969273971305049,0.0036352591831414235,0.9969273971305049,0.013662031198305636,0.9881711381765544,0.013662031198305636,0.9881711381765544,0.013662031198305636,0.9881711381765544,0.006879770567589628,0.9942318972153052,0.006879770567589628,0.9942318972153052,0.006879770567589628,0.9942318972153052,0.0,11.0,1.4869437289686442,4.478722008966783,1.0399491713585616,4.275072042444663,4.497503928552801,7.130347762687292,5.524462708356619,8.273427311654892,0.7351329897207651,3.591985762125237,0.8765133438028442,1.5315811661666665,1.4759207443275129,32.542426674843306,129.8572176087722,192.5095202922821,,,
claude,baseline_cpu_ssd,0.001,3,101;102;103,0.0,0.0,0.0,13423.0,8.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,13423.0,0.0831503626761941,0.2898729871666667,24.82210952453857,10.912827409499968,2.8936831411128425,21.981547227316668,11.414372309858587,24.144033520476892,11.414372309858587,24.144033520476892,11.414372309858587,24.144033520476892,10.776735976942991,23.683029259036427,10.776735976942991,23.683029259036427,10.776735976942991,23.683029259036427,11.229713919462053,24.014383924312366,11.229713919462053,24.014383924312366,11.229713919462053,24.014383924312366,0.0,115411.08065629301,0.0,115411.08065629301,17.39036745826072,109.0,1339093.310739674,2807544.3333333335,11.602814072312887,24.32647123108146,0.0,246096855040.0,438.13652447425085,2404.0234375,8.442836763387504e-06,0.0,1.4919769798006236e-05,2.6666666666666665,0.5729894610259655,1.4009007757499996,0.985407424793927,0.008670911533063487,0.02497057696666666,0.014577655436275087,0.5816688153957923,1.4218058517999996,,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.2282775849788964,0.3024290575,1.1237079983143297,1.4218058517999996,1.9583906119950605,3.803961097226665,2904.507292127091,4606.666666666667,0.00534572145133638,0.994209584670842,0.00534572145133638,0.994209584670842,0.00534572145133638,0.994209584670842,0.009751805062054362,0.9852149393265982,0.009751805062054362,0.9852149393265982,0.009751805062054362,0.9852149393265982,0.004489866201748539,0.991212148954868,0.004489866201748539,0.991212148954868,0.004489866201748539,0.991212148954868,0.0,21.0,1.3649097500977792,4.504042329548395,1.0151768970688253,4.276584458996612,4.148942967636408,7.323251126369699,3.668065665234676,8.873341362165936,0.4169476901713599,3.5502738397511693,0.8156874861422848,1.5076419463333333,4.762822931087608,31.658054821656666,117.02441105690794,187.62606374422708,,,
claude,baseline_cpu_ssd,0.002,3,101;102;103,0.0,22.0,0.0,13119.0,91.0,0.0,0.0,22.0,0.0,0.0,75.0,0.0,13116.0,0.08700599377246535,0.290754199,25.993858297588886,13.631010523716666,3.7771750156512893,22.525141071936662,11.144107478327635,43.53806675026044,11.144107478327635,43.53806675026044,11.144107478327635,43.53806675026044,10.589412901361728,42.942081226667796,10.589412901361728,42.942081226667796,10.589412901361728,42.942081226667796,11.004175172749363,43.344965707680565,11.004175172749363,43.344965707680565,11.004175172749363,43.344965707680565,0.0,57705.540328145995,0.0,57705.540328145995,17.39036745826072,109.0,630587.4293591822,2547182.3333333335,10.92767567504453,44.141036005358046,0.0,772425646080.0,309.90943097514247,2218.32421875,0.0002254254298883932,0.0,0.0002771659868795794,97.66666666666667,0.8443627553816153,1.4977498469833306,0.989787797799562,0.00814443477827524,0.022611303616666665,0.009935036213558382,0.8527326155897791,1.5165678509666645,,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.19885665221117554,0.2926947618333333,1.1155811893150733,1.5165678509666645,19.759594930257187,12.288447329049736,2348.5170615676466,4525.0,0.009835976739894354,0.9878770366848313,0.009835976739894354,0.9878770366848313,0.009835976739894354,0.9878770366848313,0.012702532287621577,0.9775468209667965,0.012702532287621577,0.9775468209667965,0.012702532287621577,0.9775468209667965,0.004843492172899422,0.9831052405011831,0.004843492172899422,0.9831052405011831,0.004843492172899422,0.9831052405011831,0.0,42.0,1.2071466944391531,4.621320674055419,0.9988063368865671,4.291354897744903,4.487310171209134,7.520974702016584,8.426964898243083,11.785856479123794,0.7440332726802023,3.6125903541776396,0.5082443635760004,1.4331504141666667,29.40873617787441,39.32169723086998,76.50048236825828,169.7975665728251,,,
claude,baseline_cpu_ssd,0.004,3,101;102;103,0.0,264.0,0.0,13475.0,400.0,0.0,0.0,264.0,0.0,0.0,145.0,0.0,13448.0,0.10492146272670964,0.2951226951666666,25.30432772673922,12.870495315583321,3.668204112546716,22.390489969986664,25.08262397748088,88.1685069475338,25.08262397748088,88.1685069475338,25.08262397748088,88.1685069475338,24.297422703889367,86.58610545169694,24.297422703889367,86.58610545169694,24.297422703889367,86.58610545169694,24.77462823397803,87.57560027331431,24.77462823397803,87.57560027331431,24.77462823397803,87.57560027331431,0.0,28852.770164072997,0.0,28852.770164072997,17.39036745826072,109.0,767913.1141708728,2633424.0,26.614883416881252,91.27109754193019,0.0,1527917051904.0,199.44691200683303,2160.4544270833335,0.04766307301908109,0.0,0.02174250436926882,43732.666666666664,1.7796682756350932,3.6709606460666655,0.9738459296863887,0.007436153100622299,0.017594457216666665,0.004411565944342316,1.8347675017547969,3.726764603083325,,15.666666666666666,68.33333333333333,0.0,0.0,0.0,0.0,84.0,0.15511213516672656,0.2919185265,5.563301697484998,3.726764603083325,39.58971185983249,42.18961937232661,2268.4583643345636,4751.333333333333,0.022264281806881295,0.9631544021221415,0.022264281806881295,0.9631544021221415,0.022264281806881295,0.9631544021221415,0.017865102552541822,0.9496480881050747,0.017865102552541822,0.9496480881050747,0.017865102552541822,0.9496480881050747,0.02168565665246318,0.9574595830103038,0.02168565665246318,0.9574595830103038,0.02168565665246318,0.9574595830103038,0.0,84.0,1.5581782805392501,5.2840578130161235,1.099592927131144,4.466466712410226,8.175784765326492,12.096291383581201,12.497498498206994,17.671361146325427,2.1889086443771015,4.82255680152261,0.32099800080642116,1.5676142210000001,29.846713690219786,53.51750680204671,56.02969424817574,155.9745466709137,,,
claude,baseline_cpu_ssd,0.008,3,101;102;103,0.0,2122.0,0.0,13705.0,2374.0,0.0,0.0,2192.0,0.0,0.0,250.0,70.0,13572.0,0.08621750286551799,0.31281296883333337,17.22465024141003,17.65169398411664,22.821489544957956,28.3742958751,21.034819930965323,192.15423574488239,21.034819930965323,192.15423574488239,21.034819930965323,192.15423574488239,19.329419730316612,184.37346927462454,19.329419730316612,184.37346927462454,19.329419730316612,184.37346927462454,21.010109247069124,188.2475051481662,21.010109247069124,188.2475051481662,21.010109247069124,188.2475051481662,0.0,14426.385082036,0.0,14426.385082036,17.39036745826072,109.0,462134.7495064528,3002574.0,32.03399513311975,208.13072595288338,0.0,3325408051200.0,845.072666136756,1825.6666666666667,0.8011831656863166,2.4182391102499996,0.21066262585125006,896676.0,2.6783895115427883,20.254566532266633,0.7859407854819883,0.011405016642258426,0.03378573885,0.0033965886667618344,3.4909776938713635,24.983228023466665,,85.0,83.0,0.0,0.0,0.0,0.0,168.0,0.15487956964854335,0.3556888968333333,16.452657387917547,24.983228023466665,42.39038708629437,53.067961943820016,1979.3238731172826,5504.0,0.022286284118536785,0.9152809410528207,0.022286284118536785,0.9152809410528207,0.022286284118536785,0.9152809410528207,0.0577033529900786,0.8822622615052177,0.0577033529900786,0.8822622615052177,0.0577033529900786,0.8822622615052177,0.03497365011910553,0.8977989768033846,0.03497365011910553,0.8977989768033846,0.03497365011910553,0.8977989768033846,0.0,168.0,1.5428868740202566,7.589814878078133,1.0753744044400666,5.183466072974813,3.357924037964853,21.832485324273406,2.488272054270383,24.045688308572164,3.8598639934019934,7.622633449034319,0.3440165850557802,2.1683508953333335,48.247680677185464,76.08167464383688,39.70277349823077,153.0112191836039,,,
claude,baseline_cpu_ssd,0.012,1,103,0.0,4482.0,0.0,13239.0,4791.0,0.0,0.0,4713.0,0.0,0.0,336.0,231.0,13128.0,0.0,0.351880812,0.0,21.670038713949914,0.0,23.14604394952,0.0,295.31829383069817,0.0,295.31829383069817,0.0,295.31829383069817,0.0,270.37522710483006,0.0,270.37522710483006,0.0,270.37522710483006,0.0,281.72666912431725,0.0,281.72666912431725,0.0,281.72666912431725,0.0,9579.575864751,0.0,9579.575864751,0.0,102.0,0.0,3275237.0,0.0,341.8979134610291,0.0,5016231346176.0,0.0,1347.421875,2.355307619529537,11.5586846725,0.4543221089667023,2993585.0,2.8132363757574868,18.0731109215,0.5426533131630942,0.01568008944084438,0.0528964845,0.003024577870203592,5.184224084727868,27.817766272500002,,146.0,96.0,0.0,0.0,11.0,0.0,253.0,0.0,0.444612932,0.0,27.817766272500002,0.0,53.509435821699974,0.0,6213.0,0.0,0.8561081603090295,0.0,0.8561081603090295,0.0,0.8561081603090295,0.0,0.7891517785288911,0.0,0.7891517785288911,0.0,0.7891517785288911,0.0,0.8168356671495252,0.0,0.8168356671495252,0.0,0.8168356671495252,0.0,253.0,0.0,9.146165335926629,0.0,6.127909338582677,0.0,23.298442122056876,0.0,24.486406784817518,0.0,9.900789651788347,0.0,3.052621751,0.0,85.85453981056003,0.0,180.99680018424988,,,
claude,baseline_cpu_ssd,0.016,3,101;102;103,0.0,8656.0,0.0,12609.0,9184.0,0.0,0.0,9001.0,0.0,0.0,491.0,345.0,12315.0,0.10342934974303991,0.3615920023333334,49.65692706699192,44.27416953448333,83.11960018034917,69.77640346962332,16.68253501748258,441.91400237658587,16.68253501748258,441.91400237658587,16.68253501748258,441.91400237658587,19.261971916226724,381.6829478217807,19.261971916226724,381.6829478217807,19.261971916226724,381.6829478217807,20.16231721967417,409.22625908257027,20.16231721967417,409.22625908257027,20.16231721967417,409.22625908257027,0.0,7191.788408849,0.0,7191.788408849,16.164115754074242,108.66666666666667,362395.59897463676,3974283.0,50.39019203189202,552.6140055942022,0.0,6008762269696.0,64.85000413966586,1061.2526041666667,6.2464960703864305,28.092051862633312,0.6282059379076553,9225207.333333334,3.639537063077775,23.886870875416662,0.36929529591858484,0.024452923050946557,0.08928482451666664,0.0024987661737598667,9.910486056515154,52.08126750263332,,193.66666666666666,81.66666666666667,0.0,0.0,61.666666666666664,0.0,337.0,0.1843672094259157,0.6410068556666667,15.341489970317157,52.08126750263332,51.33901299667296,114.23928446944997,1552.8412228499444,7490.666666666667,0.07486136978038427,0.8061026860796588,0.07486136978038427,0.8061026860796588,0.07486136978038427,0.8061026860796588,0.07627753371198799,0.7039778415336485,0.07627753371198799,0.7039778415336485,0.07627753371198799,0.7039778415336485,0.07625701682896516,0.745910764007343,0.07625701682896516,0.745910764007343,0.07625701682896516,0.745910764007343,0.0,337.0,2.0676111130956163,12.364907360482738,5.011214115393625,10.345692504543583,0.3731794454753131,23.711864799757464,1.0392811203848766,27.066472402222235,5.385887541805366,16.249458626812682,2.102119091153475,4.635924081,57.76694754435273,143.7799535703168,37.52629345752189,260.2446292241414,,,
claude,baseline_cpu_ssd,0.02,2,101;102,0.0,13050.0,0.0,9492.0,14011.5,0.0,0.0,13624.5,0.0,0.0,594.0,574.5,8898.0,2.4486773666109998,0.5923562275,166.31461037503752,43.90923977349998,91.25900615553401,87.15766897841002,78.04895721629202,533.1927988986874,78.04895721629202,533.1927988986874,78.04895721629202,533.1927988986874,49.447007790603465,428.4286852392945,49.447007790603465,428.4286852392945,49.447007790603465,428.4286852392945,13.43358015120438,472.34977413741854,13.43358015120438,472.34977413741854,13.43358015120438,472.34977413741854,0.0,5756.847253639,0.0,5756.847253639,44.471,112.5,604316.4189999999,4258037.5,104.97350240064178,739.6474689003469,0.0,7250481119232.0,199.39982421874996,1285.435546875,10.996045039375556,48.38295775052495,0.7026195204435528,17401920.5,4.548415879348638,30.532587281899993,0.2952034340977373,0.033531143433626245,0.11300013992499996,0.002177045458709977,15.577992062157819,78.11752306464993,,215.0,81.0,0.0,0.0,125.0,0.0,421.0,3.2661145381094996,1.27988114325,71.47746481145089,78.11752306464993,353.9743964882598,175.54788065849516,4834.633,8028.5,0.43438359047650704,0.7346318415191733,0.43438359047650704,0.7346318415191733,0.43438359047650704,0.7346318415191733,0.5516858409480826,0.602911994757062,0.5516858409480826,0.602911994757062,0.5516858409480826,0.602911994757062,0.5236532127611823,0.6520917267860546,0.5236532127611823,0.6520917267860546,0.5236532127611823,0.6520917267860546,0.0,421.0,2.432436566861893,15.0964149933419,4.353002621023402,17.44413141305385,3.588987971584301,23.98310100221486,9.256017739544896,28.178485497500006,24.688271744129825,23.371843058608686,15.836896781046,7.922654372,301.0068877838654,197.07857217606988,12.005839268684385,429.3054575920105,,,
claude,baseline_cpu_ssd,0.024,3,101;102;103,0.0,17643.0,0.0,7308.0,18769.0,0.0,0.0,18566.0,0.0,0.0,702.0,923.0,6860.0,0.7264482051864676,1.0445743106666667,26.769628014109415,37.31019471386664,47.10589984801153,72.82002144639665,26.871302217099274,584.3546577693002,26.871302217099274,584.3546577693002,26.871302217099274,584.3546577693002,72.99769818004751,432.7257788239895,72.99769818004751,432.7257788239895,72.99769818004751,432.7257788239895,39.71072948040148,487.16284706120035,39.71072948040148,487.16284706120035,39.71072948040148,487.16284706120035,0.0,4799.272660954,0.0,4799.272660954,17.39036745826072,109.0,240874.6854770493,4756238.0,50.189831354397036,991.033086887494,0.0,8812685950976.0,1753.8182908065157,1275.4622395833333,15.816093358193102,57.66566014951649,0.7810521413161159,26379216.0,4.382488467452818,27.375815000483268,0.2169631313870645,0.04017864236987873,0.11612430666666662,0.0019847272968196504,20.2387604680158,78.87136115804991,,223.66666666666666,83.66666666666667,0.0,0.0,197.66666666666666,0.0,505.0,2.638515867204903,3.9998117445,21.919538267310475,78.87136115804991,62.59122468547115,178.83433083302165,1148.7675867191085,8979.666666666666,0.09522350483877338,0.627514067414667,0.09522350483877338,0.627514067414667,0.09522350483877338,0.627514067414667,0.07024045699322307,0.47446665674006555,0.07024045699322307,0.47446665674006555,0.07024045699322307,0.47446665674006555,0.08258610036039413,0.5320839842055726,0.08258610036039413,0.5320839842055726,0.08258610036039413,0.5320839842055726,0.0,505.0,1.1784354052098471,17.130149032331513,0.5858120502805504,19.724607531018098,0.3667240961845292,24.117468345606866,2.082757761851562,29.36229420777777,5.274468332468218,29.078614032407856,4.472799514285934,12.281413941000002,62.69749689534066,216.48266762541982,109.64882886762673,632.289983590444,,,
claude,baseline_cpu_ssd,0.028,2,101;102,0.0,21484.5,0.0,2281.5,23131.5,0.0,0.0,22893.0,0.0,0.0,867.0,1408.5,1759.5,3.6002009244144992,1.3485599057500002,31.248941309852455,44.048109418974974,155.75732095293108,78.62603963333501,475.4621614638696,529.620343583118,475.4621614638696,529.620343583118,475.4621614638696,529.620343583118,295.5117484994937,336.6813098756872,295.5117484994937,336.6813098756872,295.5117484994937,336.6813098756872,303.59711374905294,407.309462581821,303.59711374905294,407.309462581821,303.59711374905294,407.309462581821,0.0,4107.852023359,0.0,4107.852023359,38.117999999999995,112.0,1699275.028,4764939.0,413.66510242754526,1159.958774781692,0.0,9926117818368.0,115.19775781249999,786.95703125,25.014229596467487,90.93540442542496,0.8310881654489326,37948763.5,5.032888198090312,29.096093849374995,0.1672526599336041,0.04951333645541209,0.128563667925,0.0016591746174631462,30.09663113101321,114.02221110644987,,232.0,80.0,0.0,0.0,278.0,0.0,590.0,26.776089706108,9.441023013,168.75879313200724,114.02221110644987,178.3892905015143,268.7747075856141,4351.804999999999,8794.5,0.4693730274046316,0.5142245368278144,0.4693730274046316,0.5142245368278144,0.4693730274046316,0.5142245368278144,0.4369038067061521,0.34626447460829346,0.4369038067061521,0.34626447460829346,0.4369038067061521,0.34626447460829346,0.5256137420641284,0.40932761128244965,0.5256137420641284,0.40932761128244965,0.5256137420641284,0.40932761128244965,0.0,590.0,2.577504860815416,19.017581952435073,4.265310510944441,21.36496014271308,0.8609375297469852,24.24377846378843,7.386447084159376,30.09485755999994,25.20273002277085,40.20624969729549,28.429922319113512,19.01641116575,143.3999352993959,311.51124135879985,367.4670755281448,1032.6516966819763,,,
