run_id,compute_endpoint,calibration_band,attention_multiplier,prompt_compute_scale,prompt_compute_calibration_metadata_sha256,reserve_case,baseline,report_schema_version,tp_size,max_context_tokens,hbm_total_bytes_per_rank,model_weight_bytes_per_rank_estimate,common_hbm_reserve_bytes_per_rank,prefill_hbm_reserve_bytes_per_rank,decode_hbm_reserve_bytes_per_rank,prefill_hbm_kv_budget_bytes_per_rank,decode_hbm_kv_budget_bytes_per_rank,all_request_count,context_admissible_request_count,reuse_eligible_transition_count,decode_hbm_resume_count,cpu_resume_count,ssd_resume_count,recompute_count,decode_hbm_resume_fraction_all_requests,cpu_resume_fraction_all_requests,ssd_resume_fraction_all_requests,cpu_or_ssd_resume_fraction_all_requests,recompute_fraction_all_requests,recompute_fraction_executed_prompt_compute,restore_raw_request_sum_seconds,restore_exposed_request_sum_seconds,restore_exposed_wall_union_seconds,transfer_queue_wait_seconds,transfer_service_seconds,oracle_request_summed_service_slowdown_fraction,oracle_session_e2e_slowdown_fraction,oracle_trace_makespan_slowdown_fraction,request_makespan_seconds,report_sha256
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,zero_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,124779,0,213615,0,0.3493634523366213,0.0,0.5980916169458591,0.5980916169458591,0.0,0.0,24114874.12441088,24114874.12441088,92667.212503492,1106887.068927463,152842.05097439,72.44781897047599,0.21724265755301975,0.004145822015047207,6149470.728186267,341601bb1f08e3d27ce7f158f22a5d9d213a06c53b0b5a21c07d599546d92c88
zero_residual__slow_full_attention__tiered,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,zero_residual,tiered,15,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,206277,68605,63512,0,0.577546260649959,0.19208424212050026,0.1778245665120212,0.36990880863252146,0.0,0.0,14149792.187848486,14149792.187848486,65053.557767597,119236.324858049,66150.624160056,41.95199262088851,0.1257976084872967,0.0018315297915501016,6135297.814279893,6524dab67ad126e19eb4af6a97cf7432a487b0575cf9e16a426f1923cd3f085a
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,half_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,44464,0,0,293930,0.1244928757619113,0.0,0.0,0.0,0.8229621935205692,0.9635273889120073,481.555563434,481.555563434,481.049120057,7.150195012,2999.390727213,1125.0361853147874,2.891536259722468,0.27432852126148277,7799977.116078113,1d31079e193e2774ff89c2c5e96c1857fae2ae7d09332f8d673b2d6b4f90a5b5
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,half_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,120326,0,218068,0,0.3368956856991665,0.0,0.610559383583314,0.610559383583314,0.0,0.0,24533797.028247967,24533797.028247967,97311.289440928,914738.948281419,158048.772352102,86.03188429224853,0.2211167215512091,0.0042090955891120885,6146615.91156943,e18a8bbb96ee05a69b4e451ee16980e5d5a23b13b5aedd4f6bdc472444771143
half_residual__central_full_attention__tiered,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,half_residual,tiered,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,195881,70987,71526,0,0.5484389393018835,0.19875350332203123,0.20026262665856576,0.399016129980597,0.0,0.0,15594467.9173302,15594467.9173302,72892.597098519,122006.479849315,73959.642951061,53.98549653990405,0.13875199996396304,0.0018704989580813347,6132301.706165222,d44cd34a6f09c1892521960266379fa2f258ab572e47b602793455b9fb1f23a1
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,half_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,52306,0,0,286088,0.14644936037249306,0.0,0.0,0.0,0.8010057089099873,0.9599972950683198,558.487941703,558.487941703,557.648758084,15.302018907,2999.413323733,754.7886039645606,0.7407794957410361,0.04655457841391519,6393373.098992531,93f7ae0aa4088dff0178aa7a4d9ef1927425b1749d708113e1438a032ff57588
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,half_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,124076,0,214318,0,0.34739515232626184,0.0,0.6000599169562186,0.6000599169562186,0.0,0.0,24569677.05319424,24569677.05319424,94805.977345078,981149.78552848,154212.769481081,225.95144373382996,0.2217577155668935,0.0042329490444890094,6134831.430648687,3c26c8af2a609ad01e8bc57fef5d6b3a533ad4bae51a025d3d2bd4369efea408
half_residual__central_attention_one_third__tiered,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,half_residual,tiered,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,214980,61577,61837,0,0.6019134227981219,0.17240684173244,0.17313480475191861,0.3455416464843586,0.0,0.0,13331640.527877584,13331640.527877584,63930.593276942,110165.667635073,65040.278016848,120.98479628603982,0.11873928132241995,0.0017588374375474558,6119717.150975192,7459a96af3798536f4318bf33ab6ee2b451f00889960041e35711a9cbd5916f0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,half_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,48773,0,0,289621,0.13655746288088566,0.0,0.0,0.0,0.8108976064015948,0.9626780957389955,510.334731181,510.334731181,509.764407282,10.870336422,2999.403446248,984.8137111357184,1.595910973134404,0.13951598497158924,6966694.182818481,d3c4083f85d31d9034296e15b95c7994177226e7321f8089e17cd2313a0f97cc
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,half_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,121730,0,216664,0,0.34082668600435095,0.0,0.6066283832781295,0.6066283832781295,0.0,0.0,24642618.52839561,24642618.52839561,96394.934790641,961696.147290979,156528.422476238,137.1718565439412,0.22228982861259672,0.004245712175569238,6139688.124961559,fd419fb1621796f1fa73afc6c0dff62917f1714f653ac638c1295279833bc5ea
half_residual__fast_full_attention__tiered,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,half_residual,tiered,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,207671,65464,65259,0,0.5814492623774712,0.18328988887364522,0.182715918031364,0.3660058069050092,0.0,0.0,14012748.821062261,14012748.821062261,67121.348093411,116302.479515673,68269.907912656,76.96519149528623,0.12472368354322261,0.0017785138442152348,6124604.338082228,99d6b470c0fd75a076ffa70e05d6b7b2553378a280940c60b429a9327899f207
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,half_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,41997,0,0,296397,0.11758562665016617,0.0,0.0,0.0,0.8298694426323143,0.9637128135300005,464.499086657,464.499086657,464.092393539,6.551690092,2999.383231909,1163.571153297534,3.4890945398563398,0.3390685527083581,8200564.785889637,6d8604b3d30e79fd0df67d5e6bf47afc3af4b34e082a1dd927b79632fea8aa76
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,half_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,119106,0,219288,0,0.3334798592231515,0.0,0.613975210059329,0.613975210059329,0.0,0.0,24426313.334507417,24426313.334507417,98176.454163583,891435.442756099,159611.070102996,73.38850010859086,0.220063392162537,0.004173585222871701,6149640.752330266,c7777b3db5bfa0902ce845a2e0a05e1f17d677242ba9259667f874f8a040dd61
half_residual__slow_full_attention__tiered,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,half_residual,tiered,15,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,192686,79887,65821,0,0.5394933937355982,0.2236722374503375,0.1842894380965447,0.40796167554688223,0.0,0.0,14960067.87719774,14960067.87719774,68661.240940664,118782.876167806,69542.889369618,44.36908028244099,0.13304550848754748,0.0019111309743511384,6135785.298401056,f2b2c673541c1264b687041eecc2bddf6aede48150a9fcb9a120d235a7b6abc7
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,full_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,42311,0,0,296083,0.11846478198907495,0.0,0.0,0.0,0.8289902872934055,0.9646017404899322,778.795816089,778.795816089,778.407368064,5.838210122,2999.384720122,1468.3773710893213,3.773982087760781,0.3671421015212768,8368075.365476963,af169b73460a52c566b080e3aab779f5c356ac32e35a35914cc1c414d49969dc
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,full_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,111868,0,226526,0,0.31321448870397384,0.0,0.6342405805785066,0.6342405805785066,0.0,0.0,25226110.043865472,25226110.043865472,105717.498189679,705614.275922621,167313.68334379,88.4692807671183,0.2273812491978766,0.004373773787492707,6147623.882557644,4d9fb57b20808eb5fcd06aa25c6e48e734ed0d99e8919dbc46f5271fd45d1cc7
full_residual__central_full_attention__tiered,central_full_attention,central,1.0,1.0,5bf691d7096b9510215c4fdf6d6a48312020e58ebb5620f7a6594464959f40a2,full_residual,tiered,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,177438,89129,71827,0,0.49680116250094497,0.2495485229350349,0.2011053838465006,0.4506539067815355,0.0,0.0,15794368.363855334,15794368.363855334,76562.677562864,123068.858132591,77036.935446235,54.67612375323341,0.1405270305410764,0.0019207812983650374,6132609.476961381,212bdec1688a3a2d754b87a22b363cedbdd4975d2dc8c7daf56dd765d34f4b69
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,full_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,54947,0,0,283447,0.15384378473573543,0.0,0.0,0.0,0.793611284546745,0.9608897544286039,583.863128631,583.863128631,583.129290552,12.956940268,2999.422436377,1058.2425948662685,1.0386012874056685,0.07233195208230803,6550846.364862665,f77b3db5978532b5921173b7113399b84ecc36690a9909c04f65c05a7a369df6
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,full_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,116800,0,221594,0,0.32702338721192964,0.0,0.6204316820705508,0.6204316820705508,0.0,0.0,25260395.66504818,25260395.66504818,101824.557565338,781682.815015317,162195.727767819,232.33075313232106,0.2280186230243837,0.004393856918397221,6135814.412419231,5bfbabb44649fee81014a3fcc6a05af2cc59ca0e875983d8e97a6063bbb7bb97
full_residual__central_attention_one_third__tiered,central_attention_one_third,central,0.3333333333333333,1.0,c1ab0f4597c5a8b591c735268b84b084f90e35d54845f9f08ecaa286bf217b3b,full_residual,tiered,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,195121,71208,72065,0,0.5463110473987921,0.19937227188858805,0.20177174999510025,0.4011440218836883,0.0,0.0,15916454.745273445,15916454.745273445,73618.478977252,121224.262251895,74820.255479628,144.49631416551202,0.14181441821158192,0.0018762910270668787,6120434.671719071,d917e444825654160467d7af9a2fc46679c081020d9312e5965259f384e4b26b
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,full_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,46250,0,0,292144,0.1294934217341759,0.0,0.0,0.0,0.8179616475483046,0.9632071630501027,500.818855198,500.818855198,500.405334209,8.666513248,2999.396296113,1315.9887022685243,2.1325868910265515,0.19224840630397177,7289086.020921044,a4fbc9d38f3393cf3aaca9600fdaf0d2099d7b81a6236113e97435ed553db01f
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,full_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,116232,0,222162,0,0.3254330680001456,0.0,0.6220220012823349,0.6220220012823349,0.0,0.0,25198663.118680555,25198663.118680555,102954.426908741,747878.183382549,163178.939477731,140.27735692765935,0.22732235616923813,0.004346608559469001,6140304.978309869,a3dcb13fa73afb79eb542ce524c77dd2f3f2471283d7bf147ed9628af009edbe
full_residual__fast_full_attention__tiered,fast_full_attention,fast,1.0,1.0,908fedc4041e2d2c6a4d7a226648e263a274c677bc6c35b86d0fefd2fd26f2dc,full_residual,tiered,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,192929,74188,71277,0,0.540173759173034,0.20771584803491983,0.1995654620745266,0.40728131010944646,0.0,0.0,15477462.92539962,15477462.92539962,73544.744496077,117836.816022701,74630.248798403,85.05791525479094,0.13783810965681198,0.00183514062689083,6124950.538997932,4415ddd1849e4a380eceb2071661c15ff2a00b59fac839f062772da6d230e4d5
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,full_residual,hbm_lru_recompute,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,40320,0,0,298074,0.11289026517452913,0.0,0.0,0.0,0.8345648041079513,0.9648917040276899,522.811557488,522.811557488,522.47952719,6.052694292,2999.378536062,1501.0517297238737,4.5010667197954,0.44466200281358015,8847227.667190285,8ca4437a36e6676a4c3ff99be7d5b27b967d2b9a7d704d188de64dbec2d7adae
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,full_residual,hbm_ssd_direct,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,110719,0,227675,0,0.3099974521294318,0.0,0.6374576171530486,0.6374576171530486,0.0,0.0,25190550.784233343,25190550.784233343,107439.234443322,681422.940577258,169211.702441098,75.6926062093031,0.2269725046757356,0.004351191853578351,6150728.429789771,212046c1de6b0ea85beefb6e26320abea4b61ce92113f069c0fd4dcefe0982c1
full_residual__slow_full_attention__tiered,slow_full_attention,slow,1.0,1.0,7ab34ecab1e29f81f109d4597e1dd24c0acdcc3dde5f9ee96109132252d72f69,full_residual,tiered,15,4,1010000,80000000000,15285227520,19893012480,19893012480,19893012480,44821760000,44821760000,357161,357161,338394,167262,96122,75010,0,0.46830980986165904,0.26912792830124227,0.21001733111957913,0.4791452594208214,0.0,0.0,16665922.440987304,16665922.440987304,80622.725656659,127834.742862579,80661.579587858,49.42519695754048,0.14820682374873395,0.0019612712166978685,6136092.36132544,4ec0ef4d1300b3a60fbf475680fe3b4b48efea313c25266e0efb8b034ef3155c
