family,system,rate,n_seeds,seeds,counter_capacity_evictions_mean,counter_cpu_prepare_hits_mean,counter_d_drops_mean,counter_d_prepare_hits_mean,counter_d_to_cpu_started_mean,counter_d_to_ssd_started_mean,counter_gpu_hbm_idle_release_events_mean,counter_lower_tier_hits_mean,counter_migrations_committed_mean,counter_promotion_load_deferrals_mean,counter_recompute_resumes_mean,counter_ssd_prepare_hits_mean,counter_stable_d_hits_mean,first_ttft_p50_s_ci95,first_ttft_p50_s_mean,first_ttft_p95_s_ci95,first_ttft_p95_s_mean,first_ttft_p99_s_ci95,first_ttft_p99_s_mean,goodput_loose_ci95,goodput_loose_mean,goodput_medium_ci95,goodput_medium_mean,goodput_tight_ci95,goodput_tight_mean,horizon_s_ci95,horizon_s_mean,measurement_window_s_ci95,measurement_window_s_mean,offered_arrivals_ci95,offered_arrivals_mean,output_tokens_ci95,output_tokens_mean,output_tokens_per_s_ci95,output_tokens_per_s_mean,peak_rss_mb_ci95,peak_rss_mb_mean,phase_admission_wait_mean_s_mean,phase_admission_wait_p95_s_mean,phase_admission_wait_share_of_mean_mean,phase_capacity_deferrals_mean,phase_prefill_queue_and_compute_mean_s_mean,phase_prefill_queue_and_compute_p95_s_mean,phase_prefill_queue_and_compute_share_of_mean_mean,phase_restore_transfer_mean_s_mean,phase_restore_transfer_p95_s_mean,phase_restore_transfer_share_of_mean_mean,phase_resume_ttft_total_mean_s_mean,phase_resume_ttft_total_p95_s_mean,phase_resume_ttft_total_share_of_mean_mean,preloaded_cpu_mean,preloaded_d_mean,preloaded_hbf_mean,preloaded_skipped_mean,preloaded_ssd_mean,resident_sessions_ci95,resident_sessions_mean,resume_ttft_p50_s_ci95,resume_ttft_p50_s_mean,resume_ttft_p95_s_ci95,resume_ttft_p95_s_mean,resume_ttft_p99_s_ci95,resume_ttft_p99_s_mean,scored_calls_ci95,scored_calls_mean,slo_pass_loose_ci95,slo_pass_loose_mean,slo_pass_medium_ci95,slo_pass_medium_mean,slo_pass_tight_ci95,slo_pass_tight_mean,target_concurrency_ci95,target_concurrency_mean,tpot_mean_ms_ci95,tpot_mean_ms_mean,tpot_p50_ms_ci95,tpot_p50_ms_mean,tpot_p95_ms_ci95,tpot_p95_ms_mean,tpot_p99_ms_ci95,tpot_p99_ms_mean,turn_latency_mean_s_ci95,turn_latency_mean_s_mean,turn_latency_p50_s_ci95,turn_latency_p50_s_mean,turn_latency_p99_s_ci95,turn_latency_p99_s_mean,wall_s_ci95,wall_s_mean,write_complete_for_endurance_projection_mean,write_total_physical_write_bytes_mean,write_wasted_physical_write_bytes_mean
claude,baseline_cpu_ssd,0.0005,3,101;102;103,0.0,0.0,0.0,9389.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,9389.0,0.07814149662849562,0.2939204168333333,14.691028110988894,13.188045989483308,2.9193046505784492,22.010276469230003,7.972042395211981,14.39023499289983,8.176228924606466,14.168245496974853,6.983905535818127,13.44440932967908,0.0,146886.829926191,0.0,146886.829926191,19.296981424852724,75.66666666666667,1170633.8564528544,2115655.0,7.96963115781779,14.403299472546946,432.8111316932469,1327.7630208333333,1.9720782222562098e-07,0.0,2.8789843947988856e-07,0.0,0.5339001849628795,1.451213709899999,0.983252436246716,0.009429219760701855,0.02722721368333333,0.01674727585484457,0.5433296019314036,1.475179589099999,,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.27871274693459835,0.31656675716666666,1.4867991183214924,1.475179589099999,1.1788371704954996,3.0712805063833355,2282.416464947208,3220.3333333333335,0.0008042650950239085,0.9994736305737187,0.006331905954071565,0.993723630503057,0.046288282910793226,0.9679769417198129,0.0,11.0,1.6268788367415015,4.579380956883207,1.0230254886099515,4.295549968427359,4.906677615587402,7.379144135117339,5.710134709193921,8.217723360719228,0.6947071573062801,3.8842586592238337,1.2887449339889931,1.6684916051666665,13.727446802057383,34.96806631284667,103.46479412406971,143.7212003072103,,,
claude,baseline_cpu_ssd,0.001,3,101;102;103,0.0,0.0,0.0,9152.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,9152.0,0.07403979198493513,0.2954264478333333,14.318286474975494,11.616061672733347,2.98995682748358,21.94839351685667,7.210337316367874,25.775878564549412,7.835178614472523,25.374249017919976,6.415092350311444,24.323652322087113,0.0,76940.720437528,0.0,76940.720437528,18.75634215405552,80.0,554677.3449413189,1983761.0,7.209151952140728,25.78297926922473,240.88818471796483,1239.4557291666667,7.679146884246466e-07,0.0,1.4677390076027752e-06,0.0,0.508728703195648,1.3786787843499997,0.9836643992201982,0.00867170768577243,0.02586179461666666,0.016334133040794313,0.5174011787961088,1.398256443533333,,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.16651985534855213,0.283951307,1.4656997067643027,1.398256443533333,1.602122502684565,3.143822876530002,978.8712893561532,3149.3333333333335,0.0013650035360496487,0.9994255246589315,0.007060454087227013,0.9930398149701262,0.052402564397130154,0.9681670000691162,0.0,21.0,1.2569023573542897,4.514279740255934,0.6151045580724728,4.211299939989297,5.033442900043338,7.312776236422095,3.9887733715002507,8.845747791686904,1.2719340676683255,3.605392109216515,0.8280480644627707,1.557262862,20.845835843646896,31.90006460688004,28.514781403496038,132.80167388916016,,,
claude,baseline_cpu_ssd,0.002,3,101;102;103,0.0,3.0,0.0,9440.0,19.0,0.0,0.0,3.0,0.0,0.0,52.0,0.0,9440.0,0.08649873865327552,0.2977568635,20.3367201836414,13.053593313466676,7.627143563640297,23.826073705806692,10.119187963540673,53.5837630566615,10.125539408278293,52.47840125539805,10.643771784106733,50.80284290432514,0.0,38470.360218764,0.0,38470.360218764,18.75634215405552,80.0,411059.8205877799,2067684.3333333333,10.685104538929805,53.74746484242214,119.32956879194667,1213.3333333333333,1.7645137682933832e-05,0.0,1.843204501916928e-05,6.333333333333333,0.7118255876819752,1.1148586230166657,0.98905417195723,0.006942058580272254,0.017432713599999993,0.010927395997750992,0.7187852913999303,1.1278452831166663,,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.09051609691819112,0.26736347083333334,0.10950521136131325,1.1278452831166663,42.9601527595657,13.81774476199309,513.4011787709924,3253.6666666666665,0.01353574750155352,0.9956714894464639,0.014370042584521911,0.9871590740769071,0.011305521186255047,0.9739000259425334,0.0,42.0,0.5079256317013741,4.519819862406075,0.37015160232713273,4.219137089281587,2.230893343594356,6.853377323085344,14.582165476355641,11.695978726652049,2.012963157186023,3.83421373499363,0.2829763807637393,1.4937505855,42.94743473442174,38.87748757144323,31.699929491704157,135.4706015586853,,,
claude,baseline_cpu_ssd,0.004,3,101;102;103,0.0,185.0,0.0,10933.0,232.0,0.0,0.0,185.0,0.0,0.0,130.0,0.0,10925.0,0.08799560720949692,0.3110491418333333,13.953336019427422,11.735516623033346,2.972190682817273,21.956057835423337,66.46269223824018,126.09744157357558,65.35894602763548,123.59423305705218,59.5323721223677,115.60416837040178,0.0,19235.180109382,0.0,19235.180109382,18.75634215405552,80.0,1288112.910291991,2441497.3333333335,66.96651151520601,126.928748233685,361.3361449953141,1217.5390625,0.009096739980927653,0.0,0.008039486418568189,9579.666666666666,0.8318067109802397,1.7731576026166653,0.9821210475820464,0.008365789596468776,0.025117081599999994,0.009839465999385373,0.8492692405576361,1.7935116266666649,,29.0,55.0,0.0,0.0,0.0,0.0,84.0,0.14759437608421028,0.28866056916666666,1.5375301464466795,1.7935116266666649,11.485068877521242,13.13948682113332,929.9492174792844,3840.0,0.0051201039837676455,0.9953640883994733,0.0041478611173287145,0.9811185570022293,0.06896189531611344,0.9472148201104843,0.0,84.0,1.8560722943860815,5.48732318287636,1.0183067347320545,4.759587440076021,5.9313752390638586,10.541663106175642,5.552617537018363,15.426804476566886,2.4216199458664227,4.501459760720012,1.1032131317504985,1.795202596,20.772509824948102,45.62768147270997,73.54889693269699,141.65710560480753,,,
claude,baseline_cpu_ssd,0.008,3,101;102;103,0.0,2382.0,0.0,11608.0,2572.0,0.0,0.0,2474.0,0.0,0.0,265.0,92.0,11504.0,0.10641337025693859,0.35473397733333334,15.070202044645622,19.154072988250004,148.21315107504282,60.74217408645011,125.7049277522488,285.04486582161206,120.81939107665237,268.27476030839864,101.88393211058295,245.78901643317639,0.0,9617.590054691,0.0,9617.590054691,18.75634215405552,80.0,1225366.315363479,2811195.6666666665,127.40887357387456,292.2973063605991,187.03250905044777,1049.4557291666667,1.1165421047790047,2.2608319176333316,0.24465462124557616,655365.0,2.36829755145767,12.300564458749955,0.750476842335372,0.01532588521742117,0.04944915994999995,0.004868536419051848,3.500165541454096,18.446972974633287,,107.0,61.0,0.0,0.0,0.0,0.0,168.0,0.34751760058470965,0.4031413035,30.124261491807854,18.446972974633287,153.55261986374356,72.5328465877037,486.86902153465377,4876.666666666667,0.05460598947136926,0.972154063385207,0.05259148519048688,0.9163563873707176,0.13058561519134665,0.8598919485310853,0.0,168.0,3.3542778876770742,9.364086001051264,4.222279239270116,7.252639279913837,3.686981259355075,23.48236676091551,2.698359735181496,25.38511661256985,8.49525450267738,8.816046821729211,2.464969315313407,2.8291520655,137.57293166379026,99.27767836300984,60.644759508556476,130.25589768091837,,,
claude,baseline_cpu_ssd,0.016,3,101;102;103,0.0,11748.0,0.0,6986.0,12824.0,0.0,0.0,12463.0,0.0,0.0,501.0,715.0,6470.0,0.9142106413750035,0.7826741140000001,135.4803873947643,60.457025161166676,334.119518122576,159.52424015340708,253.9572860904896,685.1911819231341,235.52301667958474,496.06652715346235,200.56046962281957,403.613098020046,0.0,4794.525605899,0.0,4794.525605899,18.75634215405552,80.0,1206662.576334262,3777924.0,251.67507184644734,787.9661744535866,84.17750518633608,825.9375,10.693979123139329,40.56330251258331,0.7038784584517828,9669687.0,4.172217358983175,20.838655035066637,0.2933597406822164,0.037415285749158804,0.11655682533333322,0.002761800866000827,14.903611767871661,61.243328071466614,,178.66666666666666,59.0,0.0,0.0,99.33333333333333,0.0,337.0,3.366851222831735,1.7792761975,61.81470929899297,61.243328071466614,297.748245514348,221.06130660665602,429.08148193023254,6744.666666666667,0.1042012608952486,0.9025563513151917,0.21153507485867593,0.6556992405822365,0.23255710885724323,0.5430144565163572,0.0,337.0,4.431529025547825,16.263881476359398,7.735151928479482,17.971021486375108,0.4462874322518469,24.48113513683467,0.47040902882110824,29.666962411111125,17.267227154078334,23.871300402745074,8.529905026361806,8.7478261285,237.95399903088403,257.5282535760902,124.88624801112418,228.01554306348166,,,
claude,hbf_tp8_context,0.0005,3,101;102;103,0.0,0.0,0.0,114.33333333333333,0.0,191.33333333333334,0.0,24.666666666666668,52.0,1327.3333333333333,0.0,24.666666666666668,1.0,0.05063478695576154,0.28213471,13.849574202439316,9.892664844366623,3.084580118459908,21.86683465489,7.965825109726534,14.393080721139796,8.157276275567801,14.252065128770203,8.013232922217423,14.086198204697373,0.0,146886.829926191,0.0,146886.829926191,19.296981424852724,75.66666666666667,1170811.8210560193,2114427.6666666665,7.9708427341262595,14.394943833488291,387.44841747393735,1045.3385416666667,0.0016599584218287544,0.011188868466666663,0.006898979892445356,0.0,0.24828163721173732,0.6929906050666664,0.9380514392528502,0.01351586042858561,0.03671188051666661,0.05504958085470455,0.26345745606215165,0.7063343957333331,,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.14182727486158678,0.176095996,0.6333846933202917,0.7901842224666668,0.6672389763137767,1.7907638959666656,2282.169925692943,3220.0,0.00039277585466450973,0.9998193874504494,0.003407227679079993,0.9961898150385702,0.005623148074316252,0.9899527869002315,0.0,11.0,1.0330544217500819,5.767461514128414,0.5915273649849997,5.807728999999999,2.7549841620453175,7.4721170982935154,2.673758961365712,8.043165703455417,0.5359529373856166,4.40693207989672,0.9313791012579703,1.7917869284999999,19.956611065629176,40.83014370877,252.26344427160785,445.2494490146637,1.0,681736372224.0,12606308352.0
claude,hbf_tp8_context,0.001,3,101;102;103,0.0,0.0,0.0,128.33333333333334,0.0,217.66666666666666,0.0,34.666666666666664,54.666666666666664,1290.6666666666667,0.0,34.666666666666664,1.3333333333333333,0.011771006706682012,0.26641406716666666,15.004453648368322,7.834127979233308,3.263866368664236,21.69236031967999,7.2134305734823725,25.781982831106777,7.826811894583081,25.49259987229485,7.680743241098334,25.284560922624976,0.0,76940.720437528,0.0,76940.720437528,18.75634215405552,80.0,554677.3449413189,1983761.0,7.209151952140728,25.78297926922473,65.2003517159811,974.6640625,0.0021860599598908085,0.013584993316666663,0.01081451737433259,0.0,0.228388298740658,0.6645539627833329,0.9134636425640775,0.016559787359390194,0.06099472828333338,0.07572184006158987,0.247134146059939,0.671111992033333,,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.07864915638351942,0.1585297075,0.6770571106930139,0.7429872639166665,0.397498381187371,1.5916026223999993,978.8712893561532,3149.3333333333335,0.0004507647182065407,0.9998952440812906,0.0030457617601551586,0.9964558295745597,0.004293163077022221,0.9911990350892603,0.0,21.0,0.8248556448568326,5.735004324079692,0.3790849914401131,5.774652922545868,1.940237557997784,7.692920274127374,1.5319794605092805,8.911407942487953,1.644688863591328,4.175579296256701,0.6041401475461479,1.6755904780000002,30.438510164835925,37.8095932546534,100.60828049383832,411.7692135969798,1.0,657107910656.0,12249169920.0
claude,hbf_tp8_context,0.002,3,101;102;103,0.0,0.0,0.0,164.33333333333334,0.0,283.6666666666667,0.0,67.0,52.333333333333336,2679.0,0.0,67.0,1.6666666666666667,0.03288895201554595,0.25120837133333335,8.771581473326748,4.455163296433316,3.7375670524978153,21.3679132383,9.441896857811502,53.260795800934936,9.865404004678542,52.594759233537026,10.586158995407526,51.874031210482464,0.0,38470.360218764,0.0,38470.360218764,18.75634215405552,80.0,362905.3724920276,2049117.0,9.433375992019425,53.264824876803175,76.4496352852191,975.0546875,0.0008831337743514797,0.002975776316666633,0.00414999540325419,0.0,0.20826639181715925,0.6243864774833329,0.8979725003513149,0.02060788667138178,0.07487205935,0.09787750424543092,0.2297574122628925,0.6628516819333331,,0.0,0.0,42.0,0.0,0.0,0.0,42.0,0.04543750095291492,0.150584191,0.055900063314068035,0.5874407468999999,0.43761973768950985,1.5971842948599988,507.3486593002664,3242.3333333333335,0.0004269008964324758,0.9998015843313981,0.0018865612076383862,0.9962985079341,0.004419101392226457,0.9914242173433231,0.0,42.0,0.951483812701607,6.065702345837597,0.1671765967834861,5.854553,4.651173671896001,9.421769190438516,8.826341191448108,14.092709026095903,1.6810616707419437,4.369177931441209,0.3594027529769139,1.683662977,27.537274530403394,42.36485250723995,29.04535733022999,398.1910614172618,1.0,696699748352.0,16967696384.0
claude,hbf_tp8_context,0.004,3,101;102;103,0.0,0.0,0.0,193.33333333333334,0.0,341.3333333333333,0.0,99.66666666666667,48.0,10226.333333333334,0.0,99.66666666666667,4.0,0.028122187286525314,0.23574154116666665,4.122760506913274,3.0153602615499993,4.857905236202196,20.72267366289999,66.56289967399461,126.33287823914951,67.06047097021518,125.59750690810068,66.77806549449906,123.26334628445773,0.0,19235.180109382,0.0,19235.180109382,18.75634215405552,80.0,1280508.9723528358,2430558.3333333335,66.5711974138607,126.3600506733921,31.751599692000926,993.8671875,0.0008024204615048747,0.004028584483333321,0.0032366774343477755,0.0,0.24740006421469382,0.76735109015,0.9030959428374999,0.02437062677449757,0.09558776880000001,0.09366737972815237,0.27257311145069624,0.7743510257166667,,0.0,0.0,84.0,0.0,0.0,0.0,84.0,0.06716187342818963,0.1588414525,0.7376133017922175,0.7796731695,0.8791811974294669,1.8025455070966672,928.2065167986297,3836.3333333333335,0.0011856589713441828,0.9992246679535907,0.0014049549956054498,0.9965212514317696,0.00587908583354821,0.9899745090314306,0.0,84.0,2.4946682459833514,8.117380594682375,1.3241375046623396,6.557334899153422,8.222752359297441,18.275142906590958,10.333087104879334,25.785376694512877,3.034201503988233,5.502773796804877,1.2120390693269116,2.1150952855000003,33.50425433246879,54.858022887440164,166.65689957976653,400.82765849431354,1.0,764047589376.0,12516491264.0
