family,rate,slo_level,target_concurrency,baseline_goodput_tok_s,hbf_goodput_tok_s,oracle_goodput_tok_s,baseline_tco_usd,hbf_tco_usd,baseline_capex_usd,hbf_capex_usd,baseline_opex_usd,hbf_opex_usd,baseline_it_power_w,hbf_it_power_w,baseline_goodput_per_musd,hbf_goodput_per_musd,hbf_over_baseline_goodput,hbf_over_baseline_tco,hbf_over_baseline_goodput_per_dollar,hbf_occupied_bytes,retention_window_h,stale_byte_share,hbf_workload_write_bytes,hbf_refresh_write_bytes,hbf_write_bytes,refresh_share_of_writes,measurement_window_s,hbf_workload_tb_per_day,hbf_refresh_tb_per_day,hbf_write_tb_per_day,endurance_years_slc_100k_waf1,endurance_years_slc_100k_waf2,endurance_years_slc_100k_waf4
claude,0.0005,tight,11.0,13.44440932967908,14.086198204697373,13.473583717440642,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,21.206806711046486,25.85443784972619,1.0477364872848314,0.8593938610889403,1.2191575187158556,161595817984.0,24.0,0.7167017776638553,681736372224.0,196896372284.59222,878632744508.5923,0.2240940523958207,146886.829926191,0.40100274878116177,0.11581601001217762,0.5168187587933394,5395.789615040203,2697.8948075201015,1348.9474037600507
claude,0.001,tight,21.0,24.323652322087113,25.284560922624976,24.399407613089352,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,38.3673972319847,46.40841335837694,1.0395051116425187,0.8593938610889403,1.2095794009109617,171443290112.0,24.0,0.7167017776638553,657107910656.0,109421201749.47173,766529112405.4717,0.14274891844106644,76940.720437528,0.7378943576019169,0.12287371079181049,0.8607680683937273,3239.71740350329,1619.858701751645,809.9293508758225
claude,0.002,tight,42.0,50.80284290432514,51.874031210482464,51.16667278756703,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,80.1348756516475,95.21191569624013,1.021085203994876,0.8593938610889403,1.1881457969702691,280582979584.0,24.0,0.7167017776638553,696699748352.0,89539015485.73885,786238763837.7389,0.11388272825507441,38470.360218764,1.5647074245032058,0.20109432025007404,1.7658017447532801,1579.2516344719668,789.6258172359834,394.8129086179917
claude,0.004,tight,84.0,115.60416837040178,123.26334628445773,118.38936020962642,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,182.35053645758822,226.24305574502293,1.0662534753030317,0.8593938610889403,1.2407040864266579,555566956544.0,24.0,0.7167017776638553,764047589376.0,88645644862.54866,852693234238.5487,0.10395959684341677,19235.180109382,3.431925843516696,0.3981758253663827,3.830101668883079,728.0864929019713,364.04324645098563,182.02162322549282
claude,0.008,tight,168.0,245.78901643317639,282.43742121327153,273.4422017413066,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,387.70019830399053,518.3982680834603,1.1491051362340226,0.8593938610889403,1.3371111759839522,1053006331904.0,24.0,0.7167017776638553,877503741952.0,84008258803.4412,961512000755.4412,0.08737099353667718,9617.590054691,7.8830895134351495,0.7546915099668925,8.637781023402042,322.84278612758163,161.42139306379082,80.71069653189541
claude,0.016,tight,337.0,403.613098020046,555.1298610353905,749.0435193243574,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,636.6471553988372,1018.9101617127918,1.3754010059599682,0.8593938610889403,1.6004314997284177,2081797111808.0,24.0,0.7167017776638553,1093159518208.0,82795890834.47733,1175955409042.4773,0.07040733874585768,4794.525605899,19.69933839897837,1.4920276907682735,21.19136608974664,131.59346498687233,65.79673249343617,32.89836624671808
codex,0.0005,tight,18.0,20.816297420792196,21.51748053662736,20.942394105922162,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,32.83500115307282,39.49414562627737,1.0336843340417876,0.8593938610889403,1.2028062810828126,131262447616.0,24.0,0.7576807165703286,1308190670848.0,68176234977.18225,1376366905825.1821,0.04953347445992834,59227.039359805,1.9083796047042412,0.09945502536846611,2.0078346300727072,1388.8819576013025,694.4409788006512,347.2204894003256
codex,0.001,tight,36.0,51.286687626128185,53.454931523759534,51.637045619554236,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,80.89807775609296,98.11357079879325,1.0422769338007847,0.8593938610889403,1.2128047231802572,256305430528.0,24.0,0.7576807165703286,1865784197120.0,66561075063.613785,1932345272183.6138,0.034445746327931126,29613.519679902,5.44358645556655,0.19419768226332162,5.637784137829871,494.63498838898266,247.31749419449133,123.65874709724567
codex,0.002,tight,73.0,113.20591659235214,122.85989493967469,116.18226205103247,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,178.56760627044727,225.50254311219607,1.0852780370312796,0.8593938610889403,1.2628412724011326,475460468736.0,24.0,0.7576807165703286,2127623258112.0,60891486274.76216,2188514744386.7622,0.02782320129710819,14603.927513376,12.587480274228056,0.3602472286527568,12.947727502880815,215.3771996618408,107.6885998309204,53.8442999154602
codex,0.004,tight,145.0,230.6184319203752,317.4350397354501,281.7642685893159,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,363.77057480269167,582.634461541845,1.3764512970283735,0.8593938610889403,1.6016536297853798,979248021504.0,24.0,0.7576807165703286,2629848203264.0,63137840137.11792,2692986043401.118,0.023445290513788818,7352.322127424001,30.90437018727568,0.7419573426332273,31.646327529908906,88.11908076599167,44.059540382995834,22.029770191497917
