family,system,rate,n_seeds,seeds,counter_capacity_evictions_mean,counter_cpu_prepare_hits_mean,counter_d_drops_mean,counter_d_prepare_hits_mean,counter_d_to_cpu_started_mean,counter_d_to_ssd_started_mean,counter_gpu_hbm_idle_release_events_mean,counter_lower_tier_hits_mean,counter_migrations_committed_mean,counter_promotion_load_deferrals_mean,counter_recompute_resumes_mean,counter_ssd_prepare_hits_mean,counter_stable_d_hits_mean,first_ttft_p50_s_ci95,first_ttft_p50_s_mean,first_ttft_p95_s_ci95,first_ttft_p95_s_mean,first_ttft_p99_s_ci95,first_ttft_p99_s_mean,goodput_ttft10_tpot100_ci95,goodput_ttft10_tpot100_mean,goodput_ttft10_tpot150_ci95,goodput_ttft10_tpot150_mean,goodput_ttft10_tpot50_ci95,goodput_ttft10_tpot50_mean,goodput_ttft3_tpot100_ci95,goodput_ttft3_tpot100_mean,goodput_ttft3_tpot150_ci95,goodput_ttft3_tpot150_mean,goodput_ttft3_tpot50_ci95,goodput_ttft3_tpot50_mean,goodput_ttft5_tpot100_ci95,goodput_ttft5_tpot100_mean,goodput_ttft5_tpot150_ci95,goodput_ttft5_tpot150_mean,goodput_ttft5_tpot50_ci95,goodput_ttft5_tpot50_mean,goodput_turn10_ci95,goodput_turn10_mean,goodput_turn30_ci95,goodput_turn30_mean,goodput_turn60_ci95,goodput_turn60_mean,horizon_s_ci95,horizon_s_mean,measurement_window_s_ci95,measurement_window_s_mean,offered_arrivals_ci95,offered_arrivals_mean,output_tokens_ci95,output_tokens_mean,output_tokens_per_s_ci95,output_tokens_per_s_mean,peak_hbf_reserved_bytes_peak_mean,peak_peak_used_bytes_mean,peak_rss_mb_ci95,peak_rss_mb_mean,phase_admission_wait_mean_s_mean,phase_admission_wait_p95_s_mean,phase_admission_wait_share_of_mean_mean,phase_capacity_deferrals_mean,phase_prefill_queue_and_compute_mean_s_mean,phase_prefill_queue_and_compute_p95_s_mean,phase_prefill_queue_and_compute_share_of_mean_mean,phase_restore_transfer_mean_s_mean,phase_restore_transfer_p95_s_mean,phase_restore_transfer_share_of_mean_mean,phase_resume_ttft_total_mean_s_mean,phase_resume_ttft_total_p95_s_mean,phase_resume_ttft_total_share_of_mean_mean,preloaded_cpu_mean,preloaded_d_mean,preloaded_hbf_mean,preloaded_skipped_mean,preloaded_ssd_mean,resident_sessions_ci95,resident_sessions_mean,resume_ttft_p50_s_ci95,resume_ttft_p50_s_mean,resume_ttft_p95_s_ci95,resume_ttft_p95_s_mean,resume_ttft_p99_s_ci95,resume_ttft_p99_s_mean,scored_calls_ci95,scored_calls_mean,slo_pass_ttft10_tpot100_ci95,slo_pass_ttft10_tpot100_mean,slo_pass_ttft10_tpot150_ci95,slo_pass_ttft10_tpot150_mean,slo_pass_ttft10_tpot50_ci95,slo_pass_ttft10_tpot50_mean,slo_pass_ttft3_tpot100_ci95,slo_pass_ttft3_tpot100_mean,slo_pass_ttft3_tpot150_ci95,slo_pass_ttft3_tpot150_mean,slo_pass_ttft3_tpot50_ci95,slo_pass_ttft3_tpot50_mean,slo_pass_ttft5_tpot100_ci95,slo_pass_ttft5_tpot100_mean,slo_pass_ttft5_tpot150_ci95,slo_pass_ttft5_tpot150_mean,slo_pass_ttft5_tpot50_ci95,slo_pass_ttft5_tpot50_mean,slo_pass_turn10_ci95,slo_pass_turn10_mean,slo_pass_turn30_ci95,slo_pass_turn30_mean,slo_pass_turn60_ci95,slo_pass_turn60_mean,target_concurrency_ci95,target_concurrency_mean,tpot_mean_ms_ci95,tpot_mean_ms_mean,tpot_p50_ms_ci95,tpot_p50_ms_mean,tpot_p95_ms_ci95,tpot_p95_ms_mean,tpot_p99_ms_ci95,tpot_p99_ms_mean,turn_latency_mean_s_ci95,turn_latency_mean_s_mean,turn_latency_p50_s_ci95,turn_latency_p50_s_mean,turn_latency_p99_s_ci95,turn_latency_p99_s_mean,wall_s_ci95,wall_s_mean,write_complete_for_endurance_projection_mean,write_total_physical_write_bytes_mean,write_wasted_physical_write_bytes_mean
claude,baseline_cpu_ssd,0.008,2,101;102,0.0,2485.5,0.0,13489.5,2712.0,0.0,0.0,2556.0,0.0,0.0,240.0,70.5,13359.0,0.30979096734950023,0.29855416725,75.94716141628753,15.623323915424997,105.18190406223341,30.673414061515004,100.6962814828026,193.87493707503825,100.6962814828026,193.87493707503825,100.6962814828026,193.87493707503825,98.55826736321492,184.7236840584809,98.55826736321492,184.7236840584809,98.55826736321492,184.7236840584809,104.35622697155466,189.41162213967175,104.35622697155466,189.41162213967175,104.35622697155466,189.41162213967175,128.9687108322648,92.3471813918876,171.9064638090194,148.0672037972894,190.92532143965715,179.34024950031787,0.0,14426.385082036,0.0,14426.385082036,44.471,112.5,2111654.611,3050819.5,146.37447974610558,211.4749802290344,0.0,3363981361152.0,923.54255859375,1980.275390625,1.0987090248250238,3.5869090709999996,0.2737898648745015,1217555.0,2.9040608873883054,22.41657307939996,0.7229378310297396,0.012656641519687149,0.039962627375000004,0.003272304095758908,4.0154265537330165,28.6191509461,,90.0,78.0,0.0,0.0,0.0,0.0,168.0,0.7084985576405,0.37178537775,26.03452907106941,28.6191509461,124.32906792068282,61.13848710639006,10063.151999999998,5554.0,0.08010590366824905,0.9115964670936647,0.08010590366824905,0.9115964670936647,0.08010590366824905,0.9115964670936647,0.22243156062816336,0.8734489066915794,0.22243156062816336,0.8734489066915794,0.22243156062816336,0.8734489066915794,0.13008327236858944,0.892220300882353,0.13008327236858944,0.892220300882353,0.13008327236858944,0.892220300882353,0.12482127960970532,0.8149477035672019,0.07981705116921951,0.9250134647480388,0.0739849216000238,0.9768434130214338,0.0,168.0,1.7056513749107138,7.939899193514445,4.878943881911507,5.298824601769912,6.931099336232692,22.54647762329302,0.11879651791661863,24.62392759242641,8.046461972322266,8.441753731637341,1.0989986341720013,2.230784311,113.7475815615396,86.03191516686525,178.44713581728934,171.20204055309296,,,
claude,baseline_cpu_ssd,0.016,2,101;102,0.0,8916.0,0.0,12289.5,9478.5,0.0,0.0,9252.0,0.0,0.0,501.0,336.0,11944.5,0.04126162957800005,0.337628669,75.88009348236452,55.28711778144999,153.7383547039343,87.78564623373,59.30848389187582,444.70113943631037,59.30848389187582,444.70113943631037,59.30848389187582,444.70113943631037,11.014722972456928,386.1312850337928,11.014722972456928,386.1312850337928,11.014722972456928,386.1312850337928,33.17314073178958,413.6628236085892,33.17314073178958,413.6628236085892,33.17314073178958,413.6628236085892,89.46845435667906,165.34086271738732,157.5284708885527,306.3519634822809,141.39462692600912,407.2555160822301,0.0,7191.788408849,0.0,7191.788408849,38.117999999999995,112.0,780682.0519999998,4050667.0,108.55186604759155,563.2350077229655,0.0,5976272142336.0,368.99514453124993,1148.822265625,6.7628376557484025,30.684516415250002,0.6337711919146347,9937788.0,3.852361004362585,24.969031203125002,0.3637546799471605,0.0259148857148482,0.096408784375,0.002474128138204715,10.641113545825837,55.505102951249995,,193.5,80.0,0.0,0.0,63.5,0.0,337.0,0.01737935574199998,0.68384578,21.8829819247975,55.505102951249995,45.066224034942756,125.99321765777502,7934.896999999998,7475.5,0.35240626126491353,0.7993016158765684,0.35240626126491353,0.7993016158765684,0.35240626126491353,0.7993016158765684,0.38646829942821714,0.7015591037444295,0.38646829942821714,0.7015591037444295,0.38646829942821714,0.7015591037444295,0.38222419671995256,0.7423869544141524,0.38222419671995256,0.7423869544141524,0.38222419671995256,0.7423869544141524,0.3500749355325258,0.6557813944436335,0.1722110615914415,0.8449649956481076,0.04867552603837274,0.9317246468479865,0.0,337.0,5.314423984882544,12.780323475231018,15.706429845785614,11.265970297465781,1.5802025825228843,23.760502332448695,4.293025942813233,26.924060003333338,12.861694110778558,17.356299694256187,8.448200239351998,4.938070463,56.050560384393954,156.96095521837503,165.51940734672544,317.7572705745697,,,
claude,baseline_cpu_ssd,0.024,2,101;102,0.0,18487.5,0.0,6516.0,19680.0,0.0,0.0,19455.0,0.0,0.0,702.0,967.5,6024.0,3.1395426867469993,1.1348519355,102.17123609640433,41.45135848219999,225.76787537013723,76.64109436944003,47.05241834605631,590.2220399032149,47.05241834605631,590.2220399032149,47.05241834605631,590.2220399032149,266.1860344784116,420.83064303300654,266.1860344784116,420.83064303300654,266.1860344784116,420.83064303300654,158.73522840199823,481.4058636003271,158.73522840199823,481.4058636003271,158.73522840199823,481.4058636003271,119.29565174698617,154.70969300010702,57.38157913813072,381.1821351355254,149.99455831228096,584.9881218130085,0.0,4799.272660954,0.0,4799.272660954,44.471,112.5,380455.758,4809480.0,79.27362850111008,1002.1268512474912,0.0,8782145519616.0,227.51681249999996,868.19140625,16.494951678374072,60.39040809637473,0.7847531603276154,27436797.0,4.475437287290483,29.2743738637249,0.21316746877373804,0.04349090301362894,0.12730002969999993,0.002079370898646482,21.01387986867819,83.96295981767487,,224.0,80.5,0.0,0.0,200.5,0.0,505.0,12.489250375783497,4.23204568075,3.451192212494405,83.96295981767487,108.66086272672764,192.51666080843248,5832.053999999999,9012.0,0.47966573787745687,0.6313440119464535,0.47966573787745687,0.6313440119464535,0.47966573787745687,0.6313440119464535,0.3162058369692918,0.4667196149474512,0.3162058369692918,0.4667196149474512,0.3162058369692918,0.4667196149474512,0.421387011157507,0.5307675915635468,0.421387011157507,0.5307675915635468,0.421387011157507,0.5307675915635468,0.452236510307953,0.45041756628191854,0.213230181512573,0.7347755360647714,0.05451682795763999,0.8787206610991163,0.0,505.0,4.517074622117544,17.311457760646945,1.598596572683416,19.839750006050956,0.7354454901376973,24.19586841914585,2.3541301549472253,28.890237786666617,12.804899569246253,30.15748291029182,22.744901201340003,12.392482438,9.308750296123803,231.04717446717933,37.06609882116317,632.0830745697021,,,
claude,baseline_cpu_ssd,0.028,2,101;102,0.0,21484.5,0.0,2281.5,23131.5,0.0,0.0,22893.0,0.0,0.0,867.0,1408.5,1759.5,3.6002009244144992,1.3485599057500002,31.248941309852455,44.048109418974974,155.75732095293108,78.62603963333501,475.4621614638696,529.620343583118,475.4621614638696,529.620343583118,475.4621614638696,529.620343583118,295.5117484994937,336.6813098756872,295.5117484994937,336.6813098756872,295.5117484994937,336.6813098756872,303.59711374905294,407.309462581821,303.59711374905294,407.309462581821,303.59711374905294,407.309462581821,157.08621253409885,110.2697948767891,244.74004693526382,341.51144978510285,121.44750618160248,590.4263313790836,0.0,4107.852023359,0.0,4107.852023359,38.117999999999995,112.0,1699275.028,4764939.0,413.66510242754526,1159.958774781692,0.0,9926117818368.0,115.59482031249999,787.421875,25.014229596467487,90.93540442542496,0.8310881654489326,37948763.5,5.032888198090312,29.096093849374995,0.1672526599336041,0.04951333645541209,0.128563667925,0.0016591746174631462,30.09663113101321,114.02221110644987,,232.0,80.0,0.0,0.0,278.0,0.0,590.0,26.776089706108,9.441023013,168.75879313200724,114.02221110644987,178.3892905015143,268.7747075856141,4351.804999999999,8794.5,0.4693730274046316,0.5142245368278144,0.4693730274046316,0.5142245368278144,0.4693730274046316,0.5142245368278144,0.4369038067061521,0.34626447460829346,0.4369038067061521,0.34626447460829346,0.4369038067061521,0.34626447460829346,0.5256137420641284,0.40932761128244965,0.5256137420641284,0.40932761128244965,0.5256137420641284,0.40932761128244965,0.3852622059141691,0.33675762817677646,0.2381099767223244,0.6370551552092792,0.12154762153444734,0.8317384263346593,0.0,590.0,2.577504860815416,19.017581952435073,4.265310510944441,21.36496014271308,0.8609375297469852,24.24377846378843,7.386447084159376,30.09485755999994,25.20273002277085,40.20624969729549,28.429922319113512,19.01641116575,143.3999352993959,311.51124135879985,327.20348182129857,931.2588850259781,,,
claude,baseline_cpu_ssd,0.032,2,101;102,0.0,19914.0,0.0,556.5,23422.5,0.0,0.0,23553.0,0.0,0.0,895.5,3639.0,285.0,2.5050869813879983,2.8167112330000004,123.22263014986773,66.50679996727499,213.3525546967191,100.53826990335503,21.646063976030486,385.9443357072581,21.646063976030486,385.9443357072581,21.646063976030486,385.9443357072581,39.34523708343177,186.66900688406693,39.34523708343177,186.66900688406693,39.34523708343177,186.66900688406693,122.86243723646183,255.23804311896245,122.86243723646183,255.23804311896245,122.86243723646183,255.23804311896245,15.259309056560333,68.05803677397162,38.14738927280921,271.0841711640803,238.73742891095827,556.613567089249,0.0,3595.894204424,0.0,3595.894204424,38.117999999999995,112.0,583904.23,4646473.0,162.3808145639064,1292.1606520802202,0.0,11448891604992.0,3.0772343749999993,776.046875,37.27358685843002,120.40010613124994,0.8713797788647264,55552467.5,5.446732207097045,30.11329637559999,0.1272980090522739,0.05655074053902081,0.15659468029999998,0.0013222120829998326,42.77686980606608,140.6177585052,,237.0,78.0,0.0,0.0,359.0,0.0,674.0,8.692890132036988,18.681019904499998,41.22536785979955,140.6177585052,635.0944068541969,372.8974875688714,3182.8529999999996,8446.5,0.01715696342506154,0.36089957392621713,0.01715696342506154,0.36089957392621713,0.01715696342506154,0.36089957392621713,0.021757768662255574,0.19375730107367764,0.021757768662255574,0.19375730107367764,0.021757768662255574,0.19375730107367764,0.02823745217002346,0.25058387545830835,0.02823745217002346,0.25058387545830835,0.02823745217002346,0.25058387545830835,0.0707711706515651,0.21738054100882298,0.06915539416244085,0.5150815834746201,0.12294821113488778,0.7595543792469122,0.0,674.0,0.37946498772823806,19.575771144955105,1.2071623755596348,22.24171066260446,2.655411152273559,24.437131554027587,5.098856906494893,30.9502090325,28.910387488507496,53.31506841188285,4.952198152438504,28.64780349625,690.1036781937479,419.53906896691956,744.0550240261555,1353.9499689340591,,,
claude,hbf_only_x2,0.008,2,101;102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.811912340395995,5.333685034,855.3466902246888,510.82325987112495,1039.6499373004413,529.8733179885501,88.1887887898003,194.4886736382626,105.2911402518604,199.3471326078126,93.26541634296306,187.4508745345615,77.00285745063594,187.8955112168297,93.2438380336203,192.16900035838665,80.9521284340471,181.5473512669031,79.02153030834745,191.16237257759332,96.07852328342139,196.0169844295401,84.8388663577298,184.36773903338974,121.39340313192595,75.35234875669786,147.79116181051614,127.63398381017964,156.47533038688422,155.90204941920098,0.0,14426.385082036,0.0,14426.385082036,44.471,112.5,2005756.454,3042485.0,139.0338912065784,210.8972540729249,0.0,0.0,41.393765625,904.03125,,,,0.0,,,,,,,,,,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.6004606149454997,0.31617129525,2.450102503018344,2.081930471625,24.371209700605895,17.960070455424727,9853.503,5537.5,0.053360328842844806,0.922301254592681,0.03610384084413999,0.9352228320553183,0.16630898571795727,0.8826816200884916,0.07611975528587035,0.904352883954518,0.07082412800183664,0.9150658797373712,0.19119625729139192,0.8680506541936324,0.04536099209427189,0.9139018383896539,0.027425935149917088,0.9265600146574606,0.16640640717044677,0.8761794176440247,0.1373906638056057,0.7867475352853153,0.011524683105260801,0.9032589798069395,0.009140076446055433,0.9387705901830007,0.0,168.0,7.353390045366424,102.48018768018557,5.788492904809889,7.23835938778452,248.81382583968846,149.55832768292618,6943.593592143567,1515.0857829138054,13.90227819408407,24.260799004858587,0.09422961778249932,2.78827788275,367.0757879440878,618.4872464964028,77.2438575105667,385.07179164886475,,,
claude,hbf_only_x2,0.016,2,101;102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.445190119151,19.5315236095,6769.215621302307,1368.731634792,6745.775069418142,1378.71047169692,57.670718522484776,444.3932883325049,6.904408914325698,471.1082706258659,123.44281040132583,376.7220816266489,52.654951657651445,429.23780908260244,14.239018332908362,453.3129055894684,115.68683416440427,365.5606019728214,32.974382798610904,436.3920101067444,31.64049622483509,461.733829086812,102.88240642474905,371.16998557904134,35.04234867225946,126.40020094048994,12.375110603990063,236.98688046813265,42.26742038544617,312.4716513120628,0.0,7191.788408849,0.0,7191.788408849,38.117999999999995,112.0,67335.447,3784949.5,9.362823705595876,526.287660986088,0.0,0.0,73.30766406249998,938.40625,,,,0.0,,,,,,,,,,0.0,0.0,337.0,0.0,0.0,0.0,337.0,0.02042614654100002,0.3193118705,0.724781256616655,3.1620426388999956,5.929762545805139,34.27399214140498,5037.928999999999,7017.5,0.1585821620615378,0.8194586858475295,0.13581789294976493,0.8663002071337298,0.12303491215201776,0.708822316466392,0.17212937022977542,0.8005883259594475,0.14894966168374768,0.8442254246009226,0.14193365321945475,0.6938469336373092,0.17317042780271766,0.8104875084373819,0.15441366089708047,0.8555299478525282,0.13800276788094473,0.7018444635475152,0.10335667210871943,0.6252617997349825,0.014578559212341776,0.7993651678551627,0.03241631196762299,0.8723921018404177,0.0,337.0,417.51354216880884,353.17038658953857,12.397312270672098,17.516503297245862,832.6831371099224,483.43171290005336,4252.574434016706,3033.1107150944326,105.19042443627949,63.54222133927274,1.8229907547995,5.665948747250001,4817.257764785715,1599.8242777289897,190.49962247753143,348.28912258148193,,,
claude,hbf_only_x2,0.024,2,101;102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.524010401935463,32.500415649749996,8515.939314396695,2251.9966364304,8496.94511502465,2260.7047287909,334.6499837499846,472.82310473040036,144.7101792424408,517.6256227763865,115.94128888050962,354.1261603715934,284.59796546097755,460.72908463601743,87.75484510944246,503.5626584965901,79.18758525473221,345.1565720524661,299.75878547271986,467.47187719774854,104.6047602346908,510.64529422107154,97.94633670731254,350.1591009138348,38.74858319948707,107.9784451956911,17.04980020529512,237.02174899433226,50.00568731018809,326.02419377626546,0.0,4799.272660954,0.0,4799.272660954,44.471,112.5,68555.22299999998,3198289.5,14.284502640942303,666.4112931154539,0.0,0.0,136.73839843749997,950.96875,,,,0.0,,,,,,,,,,0.0,0.0,505.0,0.0,0.0,0.0,505.0,0.04403548914400003,0.356020865,4.471855829124483,4.148626075599992,194.10574541923737,63.715160159419725,2598.3769999999995,6567.5,0.6533600838714361,0.6468952154265295,0.3262938364969737,0.7327367155751944,0.6283516046419423,0.4876112421384743,0.6525820704718348,0.6317467604493974,0.32654093720906996,0.7149972443873364,0.6455522321344447,0.4759208211345141,0.6492052239862411,0.6402818726729647,0.3227419849127771,0.7245992456388496,0.6343955465224186,0.48211489257102236,0.3503840918392741,0.45913371186920393,0.21397152450035367,0.6890074122592413,0.21649546071179562,0.7828725630558162,0.0,505.0,1859.7069413740726,576.0712908827568,121.12145124707229,50.02513368338256,3506.6064563081504,1247.5981295216743,6438.868271772172,5119.497912845512,63.607592847674496,140.8447920687007,15.134929018463497,11.86852061825,6128.729642583738,2629.2634993998654,185.29218347573274,235.83294999599457,,,
claude,hbf_only_x2,0.028,2,101;102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.10891586999097,35.802066285500004,3625.3244948219967,2660.722165197,5808.280472138384,2858.1988396365005,401.55715970780545,539.9879273611664,404.03318682420604,584.2036145298292,175.82885627155378,417.88080248234905,418.7285082858192,527.3692887867384,415.2580492919378,569.3077517645573,177.656878789721,407.6533162532697,382.3180733067867,536.1518592870505,378.71306443212654,578.7696310579155,160.0803340190161,414.75203836745027,113.89724735445046,107.54817785250836,50.78871361812134,237.49638362149415,105.5365961419183,340.3562231671489,0.0,4107.852023359,0.0,4107.852023359,38.117999999999995,112.0,190437.52799999996,2819767.0,46.35939340489663,686.4334411185216,0.0,0.0,39.879964843749995,970.427734375,,,,0.0,,,,,,,,,,0.0,0.0,590.0,0.0,0.0,0.0,590.0,0.05351513080000019,0.37301295700000003,16.164584049018224,4.664381960650005,437.6058164880582,93.3415982741401,1143.54,5828.0,0.45816418890162713,0.6627908887478235,0.3721435087475859,0.7521681523872616,0.2995743758283151,0.5212117305275031,0.4663735615394833,0.6490740303374656,0.3786395396667193,0.7352748807891656,0.30801947794483236,0.5086962567662552,0.46335921760281157,0.6559337847291631,0.37160058259911105,0.743845598219232,0.30597761165108683,0.5149566440199163,0.12312113253149114,0.4497035174926387,0.3103023121500989,0.6925528404872399,0.3823053201468047,0.792846254451596,0.0,590.0,455.68821275107166,446.1843006894578,20.759305279887872,43.63310249572032,1096.2284215717746,1457.1273897871106,3840.759909948311,5368.289982734534,331.6130723450378,145.12673210116037,7.586250585939994,12.569309882999999,3480.135228492475,2597.546071672531,45.08688582730293,197.93210923671722,,,
claude,hbf_only_x2,0.032,2,101;102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.728524102334001,24.542326421000002,1340.7744301693506,3094.401432905175,644.3682918230194,3306.59917009736,403.021019421827,627.6769759308149,391.2616167263929,693.0949183470827,97.65286436068767,469.05120231983403,305.15437986189795,612.7115745756269,306.4211304226899,676.4830558716769,148.3034526833143,458.55381339399753,367.4124314821514,622.5409794442447,360.3331155866278,687.5905851062302,133.0529773126731,464.1154341934625,43.861017325247985,93.01080092637883,83.51366667866247,232.07885231253,257.01079160309655,350.64463199410824,0.0,3595.894204424,0.0,3595.894204424,38.117999999999995,112.0,1218988.228,2731167.0,338.9944638805805,759.5237358874094,0.0,0.0,730.3964687499999,913.05859375,,,,0.0,,,,,,,,,,0.0,0.0,674.0,0.0,0.0,0.0,674.0,0.030149953045999846,0.349322786,4.074252366091999,2.190352559,1232.863447782503,109.74392390607962,889.42,5321.0,0.163654466713303,0.7433568138578934,0.05404040275905077,0.8447280059824487,0.5777482513952439,0.5921223332892118,0.19507998080834765,0.7313615365982529,0.07919665830405417,0.8309408590270905,0.5951580957223574,0.5819918906013645,0.1711495240892011,0.7381963725558665,0.054276271408991446,0.8389962449318025,0.5817708105594074,0.5876160677594477,0.17067082967405053,0.47104684479281067,0.1522001374798856,0.7391164259073035,0.07641493431165233,0.850013340685282,0.0,674.0,995.9522823410813,302.17197111019675,44.122908889112495,40.77022245983447,42.965647844244806,285.98637772769257,32259.25509122548,5761.3038973041575,183.75808929874023,77.21274914839512,8.196522802673995,11.24392422,15094.778826677799,1926.794357820251,158.7507249686718,163.40107023715973,,,
