pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0342,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.0366,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0012,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0277,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1595,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,-0.0252,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,-0.0065,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.1414,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0184,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0291,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.1489,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0092,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.1317,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.4134,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.105,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0805,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0859,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0777,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0784,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0633,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0761,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.058,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0646,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0692,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0849,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0568,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0878,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0299,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.026,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0067,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0322,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0017,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0295,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.1617,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.1601,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.1373,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1606,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.1554,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.1649,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0577,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0725,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0595,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0813,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0617,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0961,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0212,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0361,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.033,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0257,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.051,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0247,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.036,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0338,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0322,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0335,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0205,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0337,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,-0.002,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0113,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0236,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0001,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0301,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0272,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0249,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0057,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0299,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0008,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0293,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.2737,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.2809,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.2193,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.2672,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.2494,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.2863,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0202,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,-0.0243,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,-0.0517,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0079,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.058,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0046,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.1734,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.1614,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.1361,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.172,2
