family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.002,hbf_prefill_p4d4,5m_30m,623,2.00651,0.896831,2.36801,4.982137,9.466916,20.889964
claude,0.002,hbf_prefill_p4d4,gt_12h,28,1.774459,1.010593,3.906355,5.002523,16.726846,36.70451
claude,0.002,hbf_prefill_p4d4,lt_1m,14798,0.898394,0.421508,1.786176,2.54389,5.152567,11.852486
claude,0.002,oracle_infinite_hbm,1h_4h,53,2.042258,0.39352,2.984344,9.154232,14.867394,38.220946
claude,0.002,oracle_infinite_hbm,1m_5m,1515,1.678605,0.909611,4.163239,4.720313,7.44566,17.269998
claude,0.002,oracle_infinite_hbm,30m_1h,132,1.218965,1.019211,1.793966,2.219356,9.155173,21.673792
claude,0.002,oracle_infinite_hbm,4h_12h,28,7.834276,0.673647,18.659588,38.476328,18.597152,40.505563
claude,0.002,oracle_infinite_hbm,5m_30m,623,1.48135,0.744349,2.161554,3.916898,9.101746,19.823794
claude,0.002,oracle_infinite_hbm,gt_12h,28,1.560732,0.961984,3.704327,4.544994,14.76202,32.384289
claude,0.002,oracle_infinite_hbm,lt_1m,14799,0.758557,0.409429,1.715839,2.426244,5.046309,11.573351
claude,0.004,baseline_cpu_ssd,1h_4h,50,2.822159,0.854132,2.79394,11.611777,15.219925,45.048433
claude,0.004,baseline_cpu_ssd,1m_5m,1516,2.536258,1.015864,5.154075,8.636727,8.602882,19.956793
claude,0.004,baseline_cpu_ssd,30m_1h,132,3.342654,1.1967,9.073773,11.092966,10.284864,22.926233
claude,0.004,baseline_cpu_ssd,4h_12h,28,2.918616,0.814425,7.588457,10.906759,20.815741,52.511698
claude,0.004,baseline_cpu_ssd,5m_30m,550,2.335977,0.94568,4.397102,9.542699,10.329346,24.897092
claude,0.004,baseline_cpu_ssd,gt_12h,32,4.748939,1.193576,13.340287,20.558323,17.713173,34.617822
claude,0.004,baseline_cpu_ssd,lt_1m,14514,0.985779,0.417101,1.98525,3.095684,5.685477,13.084967
claude,0.004,hbf_prefill_p4d4,1h_4h,50,3.411331,0.691642,7.316164,14.613239,16.09024,37.955871
claude,0.004,hbf_prefill_p4d4,1m_5m,1519,2.481972,0.975975,4.701878,7.193511,8.462253,19.658834
claude,0.004,hbf_prefill_p4d4,30m_1h,132,2.587935,1.02172,3.260029,8.372654,9.279404,21.536608
claude,0.004,hbf_prefill_p4d4,4h_12h,28,1.114638,0.81246,2.225551,2.662381,19.16667,45.736853
claude,0.004,hbf_prefill_p4d4,5m_30m,553,1.817062,0.873293,3.309803,6.240553,9.615212,22.888675
claude,0.004,hbf_prefill_p4d4,gt_12h,32,1.52005,0.950834,3.001995,4.208861,14.949764,28.181125
claude,0.004,hbf_prefill_p4d4,lt_1m,14514,0.926878,0.421244,1.948255,2.861527,5.622715,12.773784
claude,0.004,oracle_infinite_hbm,1h_4h,50,1.675369,0.26445,1.58407,7.509385,14.429491,38.013777
claude,0.004,oracle_infinite_hbm,1m_5m,1525,1.813256,0.837366,4.205979,4.663481,7.799821,17.115808
claude,0.004,oracle_infinite_hbm,30m_1h,132,1.276651,0.909103,2.419644,3.250898,8.334301,13.045576
claude,0.004,oracle_infinite_hbm,4h_12h,28,0.725947,0.600298,1.474587,1.781412,18.832998,44.851953
claude,0.004,oracle_infinite_hbm,5m_30m,553,1.290264,0.673403,2.270677,3.162145,9.488055,22.197788
claude,0.004,oracle_infinite_hbm,gt_12h,32,0.87554,0.791317,1.6586,2.359705,13.891299,30.440683
claude,0.004,oracle_infinite_hbm,lt_1m,14524,0.789801,0.409737,1.84505,2.466324,5.533705,12.666777
claude,0.006,baseline_cpu_ssd,1h_4h,49,7.542844,1.6463,20.24892,27.231479,21.169327,51.462681
claude,0.006,baseline_cpu_ssd,1m_5m,1616,7.13514,1.259658,15.705024,30.850171,14.426583,34.551092
claude,0.006,baseline_cpu_ssd,30m_1h,145,6.689312,1.502858,15.666968,20.575565,14.629731,24.554261
claude,0.006,baseline_cpu_ssd,4h_12h,20,5.955035,3.13584,13.74528,15.037709,17.296633,36.382978
claude,0.006,baseline_cpu_ssd,5m_30m,546,7.223009,1.235314,14.262843,29.2728,17.261021,36.757672
claude,0.006,baseline_cpu_ssd,gt_12h,37,4.121744,1.444282,14.085356,17.501676,15.867998,33.72296
claude,0.006,baseline_cpu_ssd,lt_1m,14985,2.507933,0.496638,4.53027,10.362273,8.361144,20.047188
claude,0.006,hbf_prefill_p4d4,1h_4h,50,6.865945,0.689701,15.338809,31.29898,20.600784,45.476886
claude,0.006,hbf_prefill_p4d4,1m_5m,1624,6.155435,1.270998,10.687936,25.555033,13.279011,30.306827
claude,0.006,hbf_prefill_p4d4,30m_1h,145,6.417327,1.555638,12.780372,17.142868,13.495504,24.09644
claude,0.006,hbf_prefill_p4d4,4h_12h,21,3.302504,1.12359,8.520942,10.708847,16.1453,39.436213
claude,0.006,hbf_prefill_p4d4,5m_30m,549,5.865325,1.109237,11.837717,22.662244,15.613879,35.094958
claude,0.006,hbf_prefill_p4d4,gt_12h,37,1.945171,1.026489,3.740394,6.187915,13.417275,28.79394
claude,0.006,hbf_prefill_p4d4,lt_1m,15098,2.216697,0.506058,3.473466,7.456706,8.033986,18.784875
claude,0.006,oracle_infinite_hbm,1h_4h,50,2.594095,0.404847,9.580249,13.577547,16.365334,40.869558
claude,0.006,oracle_infinite_hbm,1m_5m,1646,2.9747,0.998889,5.669772,6.376431,10.448889,23.739438
claude,0.006,oracle_infinite_hbm,30m_1h,145,3.696499,1.065288,2.478618,6.530027,12.262358,20.368611
claude,0.006,oracle_infinite_hbm,4h_12h,21,0.833877,0.708686,1.821204,1.972015,15.104471,35.033906
