family,rate,system,window_s_mean,produced_kv_gb_per_s,ssd_write_gb_per_s,ssd_read_gb_per_s,hbf_media_write_gb_per_s,nvlink_handoff_gb_per_s,ssd_endurance_budget_gb_per_s,ssd_endurance_multiple
claude,0.002,baseline_cpu_ssd,14426.4,0.0262,0.0,0.0,0.0,0.0311,0.3556,0.0
claude,0.002,hbf_prefill_p4d4,14426.4,0.0262,0.0,0.0,0.0262,0.0292,0.3556,0.0
claude,0.002,oracle_infinite_hbm,14426.4,0.0262,0.0,0.0,0.0,0.0194,0.3556,0.0
claude,0.008,baseline_cpu_ssd,3606.6,0.1722,0.1418,0.1986,0.0,3.0982,0.3556,0.3989
claude,0.008,hbf_prefill_p4d4,3606.6,0.1722,0.0,0.0,0.1722,3.1863,0.3556,0.0
claude,0.008,oracle_infinite_hbm,3606.6,0.1722,0.0,0.0,0.0,0.1256,0.3556,0.0
claude,0.032,baseline_cpu_ssd,899.0,0.8942,10.9657,11.4812,0.0,12.5788,0.3556,30.8409
claude,0.032,hbf_prefill_p4d4,899.0,0.932,0.0,0.0,0.932,13.6153,0.3556,0.0
claude,0.032,oracle_infinite_hbm,899.0,0.9058,0.0,0.0,0.0,0.8818,0.3556,0.0
